Datum,Uhrze,Valutadatum,Produkt,ISIN,Beschreibung,FX,Änderung,,Saldo,,Order-ID
14-12-2022,17:18,14-12-2022,,,"Überweisung auf Ihr Geldkonto bei der flatex Bank: 35,48 EUR",,,,EUR,"97,44",
14-12-2022,17:18,14-12-2022,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"-35,48",EUR,"61,96",
14-12-2022,07:34,13-12-2022,,,Währungswechsel (Einbuchung),,EUR,"35,48",EUR,"97,44",
14-12-2022,07:34,13-12-2022,,,Währungswechsel (Ausbuchung),"1,0659",USD,"-37,82",USD,"0,00",
13-12-2022,18:03,13-12-2022,,,"Überweisung auf Ihr Geldkonto bei der flatex Bank: 9,35 EUR",,,,EUR,"61,96",
13-12-2022,18:03,13-12-2022,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"-9,35",EUR,"52,61",
13-12-2022,16:43,12-12-2022,3M COMPANY COMMON STOC,US88579Y1010,Dividende,,USD,"31,29",USD,"37,82",
13-12-2022,16:43,12-12-2022,3M COMPANY COMMON STOC,US88579Y1010,Dividendensteuer,,USD,"-4,69",USD,"6,53",
13-12-2022,07:35,12-12-2022,,,Währungswechsel (Einbuchung),,EUR,"9,35",EUR,"61,96",
13-12-2022,07:35,12-12-2022,,,Währungswechsel (Ausbuchung),"1,0563",USD,"-9,88",USD,"11,22",
13-12-2022,07:29,10-12-2022,INTERNATIONAL BUSINESS,US4592001014,Dividende,,USD,"13,20",USD,"21,10",
13-12-2022,07:29,10-12-2022,INTERNATIONAL BUSINESS,US4592001014,Dividendensteuer,,USD,"-1,98",USD,"7,90",
12-12-2022,06:59,09-12-2022,AMERICAN ELECTRIC POWER,US0255371017,Dividende,,USD,"11,62",USD,"9,88",
12-12-2022,06:59,09-12-2022,AMERICAN ELECTRIC POWER,US0255371017,Dividendensteuer,,USD,"-1,74",USD,"-1,74",
07-12-2022,10:48,06-12-2022,,,"Auszahlung von Ihrem Geldkonto bei der flatex Bank: 1.253,19 EUR",,,,EUR,"52,61",
07-12-2022,10:48,06-12-2022,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"1253,19",EUR,"1305,80",
06-12-2022,21:42,06-12-2022,KELLOGG COMPANY COMMON,US4878361082,Währungswechsel (Einbuchung),"1,0440",USD,"437,88",USD,"0,00",0e5ae35c-90d9-42c3-968f-abbac3dec368
06-12-2022,21:42,06-12-2022,KELLOGG COMPANY COMMON,US4878361082,Währungswechsel (Ausbuchung),,EUR,"-419,43",EUR,"52,61",0e5ae35c-90d9-42c3-968f-abbac3dec368
06-12-2022,21:42,06-12-2022,KELLOGG COMPANY COMMON,US4878361082,DEGIRO Transaktionsgebühren und/oder Fremdkosten,,EUR,"-1,00",EUR,"472,04",0e5ae35c-90d9-42c3-968f-abbac3dec368
06-12-2022,21:42,06-12-2022,KELLOGG COMPANY COMMON,US4878361082,"Kauf 6 zu je 72,98 USD (US4878361082)",,USD,"-437,88",USD,"-437,88",0e5ae35c-90d9-42c3-968f-abbac3dec368
06-12-2022,21:32,06-12-2022,INTEL CORPORATION - CO,US4581401001,Währungswechsel (Einbuchung),"1,0443",USD,"426,45",USD,"0,00",e8ff63d5-d812-4893-bbec-7c4ce630265e
06-12-2022,21:32,06-12-2022,INTEL CORPORATION - CO,US4581401001,Währungswechsel (Ausbuchung),,EUR,"-408,37",EUR,"473,04",e8ff63d5-d812-4893-bbec-7c4ce630265e
06-12-2022,21:32,06-12-2022,INTEL CORPORATION - CO,US4581401001,DEGIRO Transaktionsgebühren und/oder Fremdkosten,,EUR,"-1,00",EUR,"881,41",e8ff63d5-d812-4893-bbec-7c4ce630265e
06-12-2022,21:32,06-12-2022,INTEL CORPORATION - CO,US4581401001,"Kauf 15 zu je 28,43 USD (US4581401001)",,USD,"-426,45",USD,"-426,45",e8ff63d5-d812-4893-bbec-7c4ce630265e
06-12-2022,21:05,06-12-2022,INTERNATIONAL BUSINESS,US4592001014,Währungswechsel (Einbuchung),"1,0440",USD,"440,97",USD,"0,00",24cf7e32-bde1-4a72-885d-b6096ae948d5
06-12-2022,21:05,06-12-2022,INTERNATIONAL BUSINESS,US4592001014,Währungswechsel (Ausbuchung),,EUR,"-422,39",EUR,"882,41",24cf7e32-bde1-4a72-885d-b6096ae948d5
06-12-2022,21:05,06-12-2022,INTERNATIONAL BUSINESS,US4592001014,DEGIRO Transaktionsgebühren und/oder Fremdkosten,,EUR,"-1,00",EUR,"1304,80",24cf7e32-bde1-4a72-885d-b6096ae948d5
06-12-2022,21:05,06-12-2022,INTERNATIONAL BUSINESS,US4592001014,"Kauf 3 zu je 146,99 USD (US4592001014)",,USD,"-440,97",USD,"-440,97",24cf7e32-bde1-4a72-885d-b6096ae948d5
05-12-2022,17:19,05-12-2022,,,"Überweisung auf Ihr Geldkonto bei der flatex Bank: 23,27 EUR",,,,EUR,"1305,80",
05-12-2022,17:19,05-12-2022,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"-23,27",EUR,"1282,53",
05-12-2022,15:20,05-12-2022,,,flatex Einzahlung,,EUR,"1200,00",EUR,"1305,80",
03-12-2022,07:35,02-12-2022,,,Währungswechsel (Einbuchung),,EUR,"23,27",EUR,"105,80",
03-12-2022,07:35,02-12-2022,,,Währungswechsel (Ausbuchung),"1,0562",USD,"-24,58",USD,"0,00",
02-12-2022,16:49,02-12-2022,,,"Überweisung auf Ihr Geldkonto bei der flatex Bank: 39,81 EUR",,,,EUR,"82,53",
02-12-2022,16:49,02-12-2022,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"-39,81",EUR,"42,72",
02-12-2022,09:48,01-12-2022,KROGER COMPANY (THE) C,US5010441013,Dividende,,USD,"2,60",USD,"24,58",
02-12-2022,09:48,01-12-2022,KROGER COMPANY (THE) C,US5010441013,Dividendensteuer,,USD,"-0,39",USD,"21,98",
02-12-2022,09:43,01-12-2022,FORD MOTOR COMPANY COM,US3453708600,Dividende,,USD,"9,15",USD,"22,37",
02-12-2022,09:43,01-12-2022,FORD MOTOR COMPANY COM,US3453708600,Dividendensteuer,,USD,"-1,37",USD,"13,22",
02-12-2022,09:40,01-12-2022,INTEL CORPORATION - CO,US4581401001,Dividende,,USD,"17,16",USD,"14,59",
02-12-2022,09:40,01-12-2022,INTEL CORPORATION - CO,US4581401001,Dividendensteuer,,USD,"-2,57",USD,"-2,57",
02-12-2022,07:36,01-12-2022,,,Währungswechsel (Einbuchung),,EUR,"39,81",EUR,"82,53",
02-12-2022,07:36,01-12-2022,,,Währungswechsel (Ausbuchung),"1,0546",USD,"-41,98",USD,"0,00",
01-12-2022,17:19,01-12-2022,,,"Überweisung auf Ihr Geldkonto bei der flatex Bank: 23,32 EUR",,,,EUR,"42,72",
01-12-2022,17:19,01-12-2022,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"-23,32",EUR,"19,40",
01-12-2022,08:29,30-11-2022,ISHARES PROP US,IE00B1FZSF77,Dividende,,USD,"7,63",USD,"41,98",
