Datum,Uhrze,Valutadatum,Produkt,ISIN,Beschreibung,FX,Änderung,,Saldo,,Order-ID
06-03-2024,00:30,05-03-2024,,,"Überweisung auf Ihr Geldkonto bei der flatex Bank: 21,78 EUR",,,,EUR,138.21,
06-03-2024,00:30,05-03-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-21.78,EUR,116.43,
05-03-2024,07:52,04-03-2024,,,Währungswechsel (Einbuchung),,EUR,21.78,EUR,138.21,
05-03-2024,07:52,04-03-2024,,,Währungswechsel (Ausbuchung),1.0883,USD,-23.70,USD,0.00,
04-03-2024,20:02,04-03-2024,,,"Überweisung auf Ihr Geldkonto bei der flatex Bank: 14,46 EUR",,,,EUR,116.43,
04-03-2024,20:02,04-03-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-14.46,EUR,101.97,
04-03-2024,07:38,01-03-2024,INTEL CORPORATION - CO,US4581401001,Dividende,,USD,7.75,USD,23.70,
04-03-2024,07:38,01-03-2024,INTEL CORPORATION - CO,US4581401001,Dividendensteuer,,USD,-1.16,USD,15.95,
04-03-2024,07:34,01-03-2024,FORD MOTOR COMPANY COM,US3453708600,Dividende,,USD,20.13,USD,17.11,
04-03-2024,07:34,01-03-2024,FORD MOTOR COMPANY COM,US3453708600,Dividendensteuer,,USD,-3.02,USD,-3.02,
03-03-2024,07:49,01-03-2024,,,Währungswechsel (Einbuchung),,EUR,2.26,EUR,116.43,
03-03-2024,07:49,01-03-2024,,,Währungswechsel (Ausbuchung),1.0865,USD,-2.46,USD,0.00,
03-03-2024,00:14,01-03-2024,KROGER COMPANY (THE) C,US5010441013,Dividendensteuer,,USD,-0.44,USD,2.46,
03-03-2024,00:14,01-03-2024,KROGER COMPANY (THE) C,US5010441013,Dividende,,USD,2.90,USD,2.90,
02-03-2024,07:52,01-03-2024,,,Währungswechsel (Einbuchung),,EUR,12.20,EUR,114.17,
02-03-2024,07:52,01-03-2024,,,Währungswechsel (Ausbuchung),1.0865,USD,-13.26,USD,0.00,
02-03-2024,06:15,01-03-2024,,,"Überweisung auf Ihr Geldkonto bei der flatex Bank: 27,17 EUR",,,,EUR,101.97,
02-03-2024,06:15,01-03-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-27.17,EUR,74.80,
01-03-2024,07:49,29-02-2024,CF INDUSTRIES HOLDINGS,US1252691001,Dividendensteuer,,USD,-1.50,USD,13.26,
01-03-2024,07:49,29-02-2024,CF INDUSTRIES HOLDINGS,US1252691001,Dividende,,USD,10.00,USD,14.76,
01-03-2024,07:46,29-02-2024,CONAGRA FOODS INC. CO,US2058871029,Dividendensteuer,,USD,-0.84,USD,4.76,
01-03-2024,07:46,29-02-2024,CONAGRA FOODS INC. CO,US2058871029,Dividende,,USD,5.60,USD,5.60,
01-03-2024,07:09,29-02-2024,,,Währungswechsel (Einbuchung),,EUR,27.17,EUR,101.97,
01-03-2024,07:09,29-02-2024,,,Währungswechsel (Ausbuchung),1.0832,USD,-29.43,USD,0.00,
29-02-2024,07:42,28-02-2024,ISHARES PROP US,IE00B1FZSF77,Dividende,,USD,20.40,USD,29.43,
29-02-2024,07:40,28-02-2024,ISHARES ASIA PROPERTY YIELD UCITS ETF,IE00B1FZS244,Dividende,,USD,9.03,USD,9.03,
19-02-2024,17:45,19-02-2024,,,"Überweisung auf Ihr Geldkonto bei der flatex Bank: 2,3 EUR",,,,EUR,74.80,
19-02-2024,17:45,19-02-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-2.30,EUR,72.50,
17-02-2024,07:42,16-02-2024,,,Währungswechsel (Einbuchung),,EUR,2.30,EUR,74.80,
17-02-2024,07:42,16-02-2024,,,Währungswechsel (Ausbuchung),1.0804,USD,-2.48,USD,0.00,
16-02-2024,07:32,15-02-2024,APPLE INC. - COMMON ST,US0378331005,Dividendensteuer,,USD,-0.43,USD,2.48,
16-02-2024,07:32,15-02-2024,APPLE INC. - COMMON ST,US0378331005,Dividende,,USD,2.88,USD,2.91,
16-02-2024,07:23,15-02-2024,GE HEALTHCARE TECHNOLOGIES INC. -,US36266G1076,Dividende,,USD,0.03,USD,0.03,
