Datum,Uhrze,Valutadatum,Produkt,ISIN,Beschreibung,FX,Änderung,,Saldo,,Order-ID
24-11-2023,08:04,23-11-2023,,,Währungswechsel (Einbuchung),,EUR,18.97,EUR,261.12,
24-11-2023,08:04,23-11-2023,,,Währungswechsel (Ausbuchung),1.0932,USD,-20.74,USD,0.00,
23-11-2023,07:07,22-11-2023,WELLTOWER INC. COMMON,US95040Q1040,Dividendensteuer,,USD,-3.66,USD,20.74,
23-11-2023,07:07,22-11-2023,WELLTOWER INC. COMMON,US95040Q1040,Dividende,,USD,24.40,USD,24.40,
20-11-2023,17:33,20-11-2023,,,"Überweisung auf Ihr Geldkonto bei der flatex Bank: 2,24 EUR",,,,EUR,242.15,
20-11-2023,17:33,20-11-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-2.24,EUR,239.91,
18-11-2023,08:14,17-11-2023,,,Währungswechsel (Einbuchung),,EUR,2.24,EUR,242.15,
18-11-2023,08:14,17-11-2023,,,Währungswechsel (Ausbuchung),1.0942,USD,-2.45,USD,0.00,
17-11-2023,19:02,17-11-2023,,,"Überweisung auf Ihr Geldkonto bei der flatex Bank: 0,03 EUR",,,,EUR,239.91,
17-11-2023,19:02,17-11-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-0.03,EUR,239.88,
17-11-2023,07:32,16-11-2023,,,Währungswechsel (Einbuchung),,EUR,0.03,EUR,239.91,
17-11-2023,07:32,16-11-2023,,,Währungswechsel (Ausbuchung),1.0879,USD,-0.03,USD,2.45,
17-11-2023,06:56,16-11-2023,APPLE INC. - COMMON ST,US0378331005,Dividende,,USD,2.88,USD,2.48,
17-11-2023,06:56,16-11-2023,APPLE INC. - COMMON ST,US0378331005,Dividendensteuer,,USD,-0.43,USD,-0.40,
16-11-2023,07:47,15-11-2023,GE HEALTHCARE TECHNOLOGIES INC. -,US36266G1076,Dividende,,USD,0.03,USD,0.03,
09-11-2023,10:47,08-11-2023,,,"Auszahlung von Ihrem Geldkonto bei der flatex Bank: 1,3 EUR",,,,EUR,239.88,
09-11-2023,10:47,08-11-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,1.30,EUR,241.18,
08-11-2023,16:02,08-11-2023,CLIMEON AB,SE0009973548,Währungswechsel (Ausbuchung),11.700,SEK,-42.11,SEK,0.00,445d66ff-3d8e-4c03-8813-05d5a38d35ea
08-11-2023,16:02,08-11-2023,CLIMEON AB,SE0009973548,Währungswechsel (Einbuchung),,EUR,3.60,EUR,239.88,445d66ff-3d8e-4c03-8813-05d5a38d35ea
08-11-2023,16:02,08-11-2023,CLIMEON AB,SE0009973548,DEGIRO Transaktionsgebühren und/oder Fremdkosten,,EUR,-4.90,EUR,236.28,445d66ff-3d8e-4c03-8813-05d5a38d35ea
08-11-2023,16:02,08-11-2023,CLIMEON AB,SE0009973548,"Verkauf 47 zu je 0,896 SEK (SE0009973548)",,SEK,42.11,SEK,42.11,445d66ff-3d8e-4c03-8813-05d5a38d35ea
08-11-2023,09:19,08-11-2023,CLIMEON AB-RTS,SE0021020575,Kauf 47 zu je 0 SEK (SE0021020575),,SEK,0.00,SEK,0.00,
08-11-2023,09:19,08-11-2023,CLIMEON AB - NON TRADEABLE,SE0021020575,Verkauf 47 zu je 0 SEK (SE0021020575),,SEK,0.00,SEK,0.00,
