Datum,Uhrze,Valutadatum,Produkt,ISIN,Beschreibung,FX,Änderung,,Saldo,,Order-ID
14-11-2022,17:49,14-11-2022,,,"Überweisung auf Ihr Geldkonto bei der flatex Bank: 1,32 EUR",,,,EUR,"5,39",
14-11-2022,17:49,14-11-2022,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"-1,32",EUR,"4,07",
12-11-2022,07:41,11-11-2022,,,Währungswechsel (Einbuchung),,EUR,"1,32",EUR,"5,39",
12-11-2022,07:41,11-11-2022,,,Währungswechsel (Ausbuchung),"1,0374",USD,"-1,37",USD,"0,00",
11-11-2022,07:24,10-11-2022,APPLE INC. - COMMON ST,US0378331005,Dividende,,USD,"1,61",USD,"1,37",
11-11-2022,07:24,10-11-2022,APPLE INC. - COMMON ST,US0378331005,Dividendensteuer,,USD,"-0,24",USD,"-0,24",
10-11-2022,10:34,09-11-2022,,,"Auszahlung von Ihrem Geldkonto bei der flatex Bank: 1.028,31 EUR",,,,EUR,"4,07",
10-11-2022,10:34,09-11-2022,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"1028,31",EUR,"1032,38",
09-11-2022,18:22,09-11-2022,BANK OF AMERICA CORPOR,US0605051046,Währungswechsel (Einbuchung),"1,0007",USD,"1028,02",USD,"0,00",8d52f031-4662-4795-8cef-d15bdb3923fb
09-11-2022,18:22,09-11-2022,BANK OF AMERICA CORPOR,US0605051046,Währungswechsel (Ausbuchung),,EUR,"-1027,31",EUR,"4,07",8d52f031-4662-4795-8cef-d15bdb3923fb
09-11-2022,18:22,09-11-2022,BANK OF AMERICA CORPOR,US0605051046,DEGIRO Transaktionsgebühren und/oder Fremdkosten,,EUR,"-1,00",EUR,"1031,38",8d52f031-4662-4795-8cef-d15bdb3923fb
09-11-2022,18:22,09-11-2022,BANK OF AMERICA CORPOR,US0605051046,"Kauf 28 zu je 36,715 USD (US0605051046)",,USD,"-1028,02",USD,"-1028,02",8d52f031-4662-4795-8cef-d15bdb3923fb
09-11-2022,16:18,09-11-2022,,,"Auszahlung von Ihrem Geldkonto bei der flatex Bank: 512,9 EUR",,,,EUR,"1032,38",
09-11-2022,16:18,09-11-2022,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"512,90",EUR,"1545,28",
09-11-2022,12:48,09-11-2022,ISHARES MSCI EUROPE QUALITY DIV ETF E...,IE00BYYHSM20,DEGIRO Transaktionsgebühren und/oder Fremdkosten,,EUR,"-3,00",EUR,"1032,38",dad06627-6d98-4a06-a271-6ebc9e7fa59d
09-11-2022,12:48,09-11-2022,ISHARES MSCI EUROPE QUALITY DIV ETF E...,IE00BYYHSM20,"Kauf 100 zu je 5,099 EUR (IE00BYYHSM20)",,EUR,"-509,90",EUR,"1035,38",dad06627-6d98-4a06-a271-6ebc9e7fa59d
09-11-2022,09:00,09-11-2022,,,flatex Einzahlung,,EUR,"1500,00",EUR,"1545,28",
03-11-2022,17:49,03-11-2022,,,"Überweisung auf Ihr Geldkonto bei der flatex Bank: 19,84 EUR",,,,EUR,"45,28",
03-11-2022,17:49,03-11-2022,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"-19,84",EUR,"25,44",
03-11-2022,07:38,02-11-2022,,,Währungswechsel (Einbuchung),,EUR,"19,84",EUR,"45,28",
03-11-2022,07:38,02-11-2022,,,Währungswechsel (Ausbuchung),"0,9843",USD,"-19,53",USD,"0,00",
02-11-2022,09:29,01-11-2022,VERIZON COMMUNICATIONS,US92343V1044,Dividende,,USD,"11,09",USD,"19,53",
02-11-2022,09:29,01-11-2022,VERIZON COMMUNICATIONS,US92343V1044,Dividendensteuer,,USD,"-1,66",USD,"8,44",
02-11-2022,07:20,01-11-2022,GENERAL MILLS INC. CO,US3703341046,Dividende,,USD,"11,88",USD,"10,10",
02-11-2022,07:20,01-11-2022,GENERAL MILLS INC. CO,US3703341046,Dividendensteuer,,USD,"-1,78",USD,"-1,78",
27-10-2022,16:49,27-10-2022,,,"Überweisung auf Ihr Geldkonto bei der flatex Bank: 8,61 EUR",,,,EUR,"25,44",
27-10-2022,16:49,27-10-2022,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"-8,61",EUR,"16,83",
27-10-2022,07:33,26-10-2022,,,Währungswechsel (Einbuchung),,EUR,"0,34",EUR,"25,44",
27-10-2022,07:33,26-10-2022,,,Währungswechsel (Ausbuchung),"1,0106",USD,"-0,34",USD,"0,00",
27-10-2022,04:53,26-10-2022,IS EUR MC EUR D,IE00BYXYX745,Dividende,,EUR,"8,27",EUR,"25,10",
26-10-2022,08:27,25-10-2022,GENERAL ELECTRIC COMPANY COMMON STOCK,US3696043013,Dividende,,USD,"0,40",USD,"0,34",
26-10-2022,08:27,25-10-2022,GENERAL ELECTRIC COMPANY COMMON STOCK,US3696043013,Dividendensteuer,,USD,"-0,06",USD,"-0,06",
