Datum,Uhrze,Valutadatum,Produkt,ISIN,Beschreibung,FX,Änderung,,Saldo,,Order-ID
18-09-2025,08:12,18-09-2025,,,Überweisung auf Ihr Geldkonto bei der flatexDEGIRO Bank: 13 EUR,,,,EUR,"285,85",
18-09-2025,08:12,18-09-2025,,,Degiro Cash Sweep Transfer,,EUR,"-13,00",EUR,"272,85",
18-09-2025,06:33,17-09-2025,,,Währungswechsel (Einbuchung),,EUR,"13,00",EUR,"285,85",
18-09-2025,06:33,17-09-2025,,,Währungswechsel (Ausbuchung),"1,1843",USD,"-15,39",USD,"0,00",
17-09-2025,12:02,17-09-2025,,,"Überweisung auf Ihr Geldkonto bei der flatexDEGIRO Bank: 10,68 EUR",,,,EUR,"272,85",
17-09-2025,12:02,17-09-2025,,,Degiro Cash Sweep Transfer,,EUR,"-10,68",EUR,"262,17",
17-09-2025,07:21,16-09-2025,DUKE ENERGY CORP,US26441C2044,Dividendensteuer,,USD,"-2,72",USD,"15,39",
17-09-2025,07:21,16-09-2025,DUKE ENERGY CORP,US26441C2044,Dividende,,USD,"18,11",USD,"18,11",
17-09-2025,07:02,16-09-2025,,,Währungswechsel (Einbuchung),,EUR,"10,68",EUR,"272,85",
17-09-2025,07:02,16-09-2025,,,Währungswechsel (Ausbuchung),"1,1896",USD,"-12,71",USD,"0,00",
16-09-2025,08:21,15-09-2025,NEXTERA ENERGY INC,US65339F1012,Dividendensteuer,,USD,"-0,85",USD,"12,71",
16-09-2025,08:21,15-09-2025,NEXTERA ENERGY INC,US65339F1012,Dividende,,USD,"5,67",USD,"13,56",
16-09-2025,08:10,15-09-2025,KELLANOVA,US4878361082,Dividende,,USD,"9,28",USD,"7,89",
16-09-2025,08:10,15-09-2025,KELLANOVA,US4878361082,Dividendensteuer,,USD,"-1,39",USD,"-1,39",
16-09-2025,07:56,16-09-2025,,,"Überweisung auf Ihr Geldkonto bei der flatexDEGIRO Bank: 14,68 EUR",,,,EUR,"262,17",
16-09-2025,07:56,16-09-2025,,,Degiro Cash Sweep Transfer,,EUR,"-14,68",EUR,"247,49",
16-09-2025,06:30,15-09-2025,,,Währungswechsel (Einbuchung),,EUR,"14,68",EUR,"262,17",
16-09-2025,06:30,15-09-2025,,,Währungswechsel (Ausbuchung),"1,1791",USD,"-17,31",USD,"0,00",
15-09-2025,07:53,12-09-2025,WK KELLOGG CO,US92942W1071,Dividende,,USD,"0,66",USD,"17,31",
15-09-2025,07:53,12-09-2025,WK KELLOGG CO,US92942W1071,Dividendensteuer,,USD,"-0,10",USD,"16,65",
15-09-2025,07:44,12-09-2025,3M,US88579Y1010,Dividende,,USD,"19,71",USD,"16,75",
15-09-2025,07:44,12-09-2025,3M,US88579Y1010,Dividendensteuer,,USD,"-2,96",USD,"-2,96",
12-09-2025,08:04,12-09-2025,,,"Überweisung auf Ihr Geldkonto bei der flatexDEGIRO Bank: 34,19 EUR",,,,EUR,"247,49",
12-09-2025,08:04,12-09-2025,,,Degiro Cash Sweep Transfer,,EUR,"-34,19",EUR,"213,30",
12-09-2025,06:32,11-09-2025,,,Währungswechsel (Einbuchung),,EUR,"34,19",EUR,"247,49",
12-09-2025,06:32,11-09-2025,,,Währungswechsel (Ausbuchung),"1,1764",USD,"-40,22",USD,"0,00",
11-09-2025,07:45,10-09-2025,IBM,US4592001014,Dividendensteuer,,USD,"-2,77",USD,"40,22",
11-09-2025,07:45,10-09-2025,IBM,US4592001014,Dividende,,USD,"18,48",USD,"42,99",
11-09-2025,07:41,10-09-2025,AMERICAN ELECTRIC POWER COMPANY INC,US0255371017,Dividende,,USD,"28,83",USD,"24,51",
11-09-2025,07:41,10-09-2025,AMERICAN ELECTRIC POWER COMPANY INC,US0255371017,Dividendensteuer,,USD,"-4,32",USD,"-4,32",
04-09-2025,08:12,04-09-2025,,,"Überweisung auf Ihr Geldkonto bei der flatexDEGIRO Bank: 9,2 EUR",,,,EUR,"213,30",
04-09-2025,08:12,04-09-2025,,,Degiro Cash Sweep Transfer,,EUR,"-9,20",EUR,"204,10",
04-09-2025,06:35,03-09-2025,,,Währungswechsel (Einbuchung),,EUR,"9,20",EUR,"213,30",
04-09-2025,06:35,03-09-2025,,,Währungswechsel (Ausbuchung),"1,1691",USD,"-10,75",USD,"0,00",
03-09-2025,08:03,02-09-2025,FORD MOTOR,US3453708600,Dividendensteuer,,USD,"-1,37",USD,"10,75",
03-09-2025,08:03,02-09-2025,FORD MOTOR,US3453708600,Dividende,,USD,"9,15",USD,"12,12",
03-09-2025,07:50,02-09-2025,KROGER CO,US5010441013,Dividendensteuer,,USD,"-0,53",USD,"2,97",
03-09-2025,07:50,02-09-2025,KROGER CO,US5010441013,Dividende,,USD,"3,50",USD,"3,50",
02-09-2025,08:21,02-09-2025,,,"Überweisung auf Ihr Geldkonto bei der flatexDEGIRO Bank: 7,24 EUR",,,,EUR,"204,10",
02-09-2025,08:21,02-09-2025,,,Degiro Cash Sweep Transfer,,EUR,"-7,24",EUR,"196,86",
02-09-2025,06:33,01-09-2025,,,Währungswechsel (Einbuchung),,EUR,"7,24",EUR,"204,10",
02-09-2025,06:33,01-09-2025,,,Währungswechsel (Ausbuchung),"1,1740",USD,"-8,50",USD,"0,00",
01-09-2025,08:07,29-08-2025,CF INDUSTRIES HOLDINGS,US1252691001,Dividende,,USD,"10,00",USD,"8,50",
01-09-2025,08:07,29-08-2025,CF INDUSTRIES HOLDINGS,US1252691001,Dividendensteuer,,USD,"-1,50",USD,"-1,50",
01-09-2025,03:42,01-09-2025,,,"Überweisung auf Ihr Geldkonto bei der flatexDEGIRO Bank: 4,06 EUR",,,,EUR,"196,86",
01-09-2025,03:42,01-09-2025,,,Degiro Cash Sweep Transfer,,EUR,"-4,06",EUR,"192,80",
30-08-2025,06:32,29-08-2025,,,Währungswechsel (Einbuchung),,EUR,"4,06",EUR,"196,86",
30-08-2025,06:32,29-08-2025,,,Währungswechsel (Ausbuchung),"1,1714",USD,"-4,76",USD,"0,00",
29-08-2025,07:46,29-08-2025,,,"Überweisung auf Ihr Geldkonto bei der flatexDEGIRO Bank: 24,63 EUR",,,,EUR,"192,80",
29-08-2025,07:46,29-08-2025,,,Degiro Cash Sweep Transfer,,EUR,"-24,63",EUR,"168,17",
29-08-2025,07:30,28-08-2025,CONAGRA BRANDS,US2058871029,Dividende,,USD,"5,60",USD,"4,76",
29-08-2025,07:30,28-08-2025,CONAGRA BRANDS,US2058871029,Dividendensteuer,,USD,"-0,84",USD,"-0,84",
29-08-2025,06:34,28-08-2025,,,Währungswechsel (Einbuchung),,EUR,"24,63",EUR,"192,80",
29-08-2025,06:34,28-08-2025,,,Währungswechsel (Ausbuchung),"1,1711",USD,"-28,84",USD,"0,00",
28-08-2025,08:50,28-08-2025,,,"Überweisung auf Ihr Geldkonto bei der flatexDEGIRO Bank: 17,68 EUR",,,,EUR,"168,17",
28-08-2025,08:50,28-08-2025,,,Degiro Cash Sweep Transfer,,EUR,"-17,68",EUR,"150,49",
28-08-2025,07:47,27-08-2025,ISHARES ASIA PROPERTY YIELD UCITS ETF,IE00B1FZS244,Dividende,,USD,"8,76",USD,"28,84",
28-08-2025,07:43,27-08-2025,ISHARES US PROPERTY YIELD UCITS ETF,IE00B1FZSF77,Dividende,,USD,"20,08",USD,"20,08",
28-08-2025,07:41,27-08-2025,ISHARES MSCI EUROPE QUALITY DIV ETF,IE00BYYHSM20,Dividende,,EUR,"17,68",EUR,"168,17",
25-08-2025,03:40,25-08-2025,,,"Überweisung auf Ihr Geldkonto bei der flatexDEGIRO Bank: 21,42 EUR",,,,EUR,"150,49",
25-08-2025,03:40,25-08-2025,,,Degiro Cash Sweep Transfer,,EUR,"-21,42",EUR,"129,07",
23-08-2025,06:31,22-08-2025,,,Währungswechsel (Einbuchung),,EUR,"21,42",EUR,"150,49",
23-08-2025,06:31,22-08-2025,,,Währungswechsel (Ausbuchung),"1,1747",USD,"-25,16",USD,"0,00",
22-08-2025,07:17,21-08-2025,WELLTOWER INC,US95040Q1040,Dividende,,USD,"29,60",USD,"25,16",
22-08-2025,07:17,21-08-2025,WELLTOWER INC,US95040Q1040,Dividendensteuer,,USD,"-4,44",USD,"-4,44",
