Datum,Uhrze,Valutadatum,Produkt,ISIN,Beschreibung,FX,Änderung,,Saldo,,Order-ID
01-05-2024,06:59,30-04-2024,BASF SE,DE000BASF111,Dividendensteuer,,EUR,-38.56,EUR,122.71,
01-05-2024,06:59,30-04-2024,BASF SE,DE000BASF111,Dividende,,EUR,146.20,EUR,161.27,
01-05-2024,05:53,30-04-2024,IS EUR MC EUR D,IE00BYXYX745,Dividende,,EUR,3.17,EUR,15.07,
29-04-2024,20:30,29-04-2024,,,"Überweisung auf Ihr Geldkonto bei der flatex Bank: 1,11 EUR",,,,EUR,11.90,
29-04-2024,20:30,29-04-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-1.11,EUR,10.79,
27-04-2024,06:56,26-04-2024,,,Währungswechsel (Einbuchung),,EUR,1.11,EUR,11.90,
27-04-2024,06:56,26-04-2024,,,Währungswechsel (Ausbuchung),1.0720,USD,-1.19,USD,0.00,
26-04-2024,07:18,25-04-2024,GENERAL ELECTRIC COMPANY COMMON,US3696043013,Dividende,,USD,1.40,USD,1.19,
26-04-2024,07:18,25-04-2024,GENERAL ELECTRIC COMPANY COMMON,US3696043013,Dividendensteuer,,USD,-0.21,USD,-0.21,
17-04-2024,17:00,17-04-2024,,,"Überweisung auf Ihr Geldkonto bei der flatex Bank: 10,79 EUR",,,,EUR,10.79,
17-04-2024,17:00,17-04-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-10.79,EUR,0.00,
17-04-2024,06:58,16-04-2024,,,Währungswechsel (Einbuchung),,EUR,10.79,EUR,10.79,
17-04-2024,06:58,16-04-2024,,,Währungswechsel (Ausbuchung),1.0646,USD,-11.49,USD,0.00,
16-04-2024,08:08,15-04-2024,CARDINAL HEALTH INC.,US14149Y1082,Dividende,,USD,13.52,USD,11.49,
16-04-2024,08:08,15-04-2024,CARDINAL HEALTH INC.,US14149Y1082,Dividendensteuer,,USD,-2.03,USD,-2.03,
10-04-2024,18:10,11-04-2024,,,Processed Flatex Withdrawal,,EUR,162.87,EUR,0.00,
10-04-2024,18:10,11-04-2024,,,flatex Auszahlung,,EUR,-162.87,EUR,-162.87,
10-04-2024,11:15,10-04-2024,,,Processed Flatex Withdrawal,,EUR,-162.87,EUR,0.00,
08-04-2024,17:45,08-04-2024,,,"Überweisung auf Ihr Geldkonto bei der flatex Bank: 0,02 EUR",,,,EUR,162.87,
08-04-2024,17:45,08-04-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-0.02,EUR,162.85,
06-04-2024,07:04,05-04-2024,,,Währungswechsel (Einbuchung),,EUR,0.02,EUR,162.87,
06-04-2024,07:04,05-04-2024,,,Währungswechsel (Ausbuchung),1.0864,USD,-0.02,USD,0.00,
05-04-2024,12:08,04-04-2024,GENERAL ELECTRIC COMPANY COMMON,US3696043013,Barausgleich - Aktien,,USD,0.02,USD,0.02,
