Datum,Uhrze,Valutadatum,Produkt,ISIN,Beschreibung,FX,Änderung,,Saldo,,Order-ID
08-07-2025,20:30,08-07-2025,,,"Auszahlung von Ihrem Geldkonto bei der flatexDEGIRO Bank: 608,3 EUR",,,,EUR,36.12,
08-07-2025,20:30,08-07-2025,,,Degiro Cash Sweep Transfer,,EUR,608.30,EUR,644.42,
08-07-2025,19:49,08-07-2025,BANK OF AMERICA CORP,US0605051046,Währungswechsel (Einbuchung),1.1690,USD,708.75,USD,0.00,c6d4cee9-42c8-4dec-9405-a0cd006d89de
08-07-2025,19:49,08-07-2025,BANK OF AMERICA CORP,US0605051046,Währungswechsel (Ausbuchung),,EUR,-606.30,EUR,36.12,c6d4cee9-42c8-4dec-9405-a0cd006d89de
08-07-2025,19:49,08-07-2025,BANK OF AMERICA CORP,US0605051046,DEGIRO Transaktionsgebühren und/oder Fremdkosten,,EUR,-2.00,EUR,642.42,c6d4cee9-42c8-4dec-9405-a0cd006d89de
08-07-2025,19:49,08-07-2025,BANK OF AMERICA CORP,US0605051046,"Kauf 15 zu je 47,25 USD (US0605051046)",,USD,-708.75,USD,-708.75,c6d4cee9-42c8-4dec-9405-a0cd006d89de
04-07-2025,18:50,30-06-2025,,,Flatex Interest Income,,EUR,0.00,EUR,644.42,
01-07-2025,07:52,01-07-2025,,,"Überweisung auf Ihr Geldkonto bei der flatexDEGIRO Bank: 30,42 EUR",,,,EUR,644.42,
01-07-2025,07:52,01-07-2025,,,Degiro Cash Sweep Transfer,,EUR,-30.42,EUR,614.00,
01-07-2025,06:32,30-06-2025,,,Währungswechsel (Einbuchung),,EUR,30.42,EUR,644.42,
01-07-2025,06:32,30-06-2025,,,Währungswechsel (Ausbuchung),1.1816,USD,-35.95,USD,0.00,
30-06-2025,09:55,27-06-2025,KRAFT HEINZ CO,US5007541064,Dividende,,USD,17.60,USD,35.95,
30-06-2025,09:55,27-06-2025,KRAFT HEINZ CO,US5007541064,Dividendensteuer,,USD,-2.64,USD,18.35,
