Datum,Uhrze,Valutadatum,Produkt,ISIN,Beschreibung,FX,Änderung,,Saldo,,Order-ID
17-01-2025,19:01,17-01-2025,,,"Überweisung auf Ihr Geldkonto bei der flatexDEGIRO Bank: 11,23 EUR",,,,EUR,32.87,
17-01-2025,19:01,17-01-2025,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-11.23,EUR,21.64,
17-01-2025,06:59,16-01-2025,,,Währungswechsel (Einbuchung),,EUR,11.23,EUR,32.87,
17-01-2025,06:59,16-01-2025,,,Währungswechsel (Ausbuchung),1.0327,USD,-11.60,USD,0.00,
16-01-2025,18:15,16-01-2025,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-13.16,EUR,21.64,
16-01-2025,18:15,16-01-2025,,,"Überweisung auf Ihr Geldkonto bei der flatexDEGIRO Bank: 13,16 EUR",,,,EUR,34.80,
16-01-2025,07:21,15-01-2025,CARDINAL HEALTH INC.,US14149Y1082,Dividendensteuer,,USD,-2.05,USD,11.60,
16-01-2025,07:21,15-01-2025,CARDINAL HEALTH INC.,US14149Y1082,Dividende,,USD,13.65,USD,13.65,
16-01-2025,06:42,15-01-2025,,,Währungswechsel (Einbuchung),,EUR,13.16,EUR,21.64,
16-01-2025,06:42,15-01-2025,,,Währungswechsel (Ausbuchung),0.8427,GBP,-11.09,GBP,0.00,
15-01-2025,07:15,14-01-2025,NATIONAL GRID PLC,GB00BDR05C01,Dividende,,GBP,11.09,GBP,11.09,
07-01-2025,10:30,06-01-2025,,,"Auszahlung von Ihrem Geldkonto bei der flatexDEGIRO Bank: 422,61 EUR",,,,EUR,8.48,
07-01-2025,10:30,06-01-2025,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,422.61,EUR,431.09,
06-01-2025,18:50,06-01-2025,GENERAL MILLS,US3703341046,Währungswechsel (Einbuchung),1.0355,USD,435.54,USD,0.00,9ecd4d21-2f3d-438c-b8f0-5beabe1733b8
06-01-2025,18:50,06-01-2025,GENERAL MILLS,US3703341046,Währungswechsel (Ausbuchung),,EUR,-420.61,EUR,8.48,9ecd4d21-2f3d-438c-b8f0-5beabe1733b8
06-01-2025,18:50,06-01-2025,GENERAL MILLS,US3703341046,DEGIRO Transaktionsgebühren und/oder Fremdkosten,,EUR,-2.00,EUR,429.09,9ecd4d21-2f3d-438c-b8f0-5beabe1733b8
06-01-2025,18:50,06-01-2025,GENERAL MILLS,US3703341046,"Kauf 7 zu je 62,22 USD (US3703341046)",,USD,-435.54,USD,-435.54,9ecd4d21-2f3d-438c-b8f0-5beabe1733b8
06-01-2025,05:11,02-01-2025,,,Flatex Interest Income,,EUR,0.00,EUR,431.09,
03-01-2025,03:50,02-01-2025,,,"Überweisung auf Ihr Geldkonto bei der flatexDEGIRO Bank: 57,79 EUR",,,,EUR,431.09,
03-01-2025,03:50,02-01-2025,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-57.79,EUR,373.30,
31-12-2024,06:49,30-12-2024,,,Währungswechsel (Einbuchung),,EUR,36.35,EUR,431.09,
31-12-2024,06:49,30-12-2024,,,Währungswechsel (Ausbuchung),1.0433,USD,-37.92,USD,0.00,
31-12-2024,06:49,30-12-2024,,,Währungswechsel (Einbuchung),,EUR,21.44,EUR,394.74,
31-12-2024,06:49,30-12-2024,,,Währungswechsel (Ausbuchung),0.8312,GBP,-17.82,GBP,0.00,
30-12-2024,07:47,27-12-2024,ISHARES UK DIVIDEND UCITS ETF GBP (DIST),IE00B0M63060,Dividende,,GBP,17.82,GBP,17.82,
30-12-2024,07:25,27-12-2024,ISHARES AUTOMATION & ROBOTICS UCITS,IE00BYWZ0333,Dividende,,USD,1.97,USD,37.92,
30-12-2024,07:22,27-12-2024,BANK OF AMERICA CORP,US0605051046,Dividende,,USD,24.70,USD,35.95,
30-12-2024,07:22,27-12-2024,BANK OF AMERICA CORP,US0605051046,Dividendensteuer,,USD,-3.71,USD,11.25,
30-12-2024,07:17,27-12-2024,KRAFT HEINZ CO,US5007541064,Dividende,,USD,17.60,USD,14.96,
30-12-2024,07:17,27-12-2024,KRAFT HEINZ CO,US5007541064,Dividendensteuer,,USD,-2.64,USD,-2.64,
