Datum,Uhrze,Valutadatum,Produkt,ISIN,Beschreibung,FX,Änderung,,Saldo,,Order-ID
15-12-2023,07:32,14-12-2023,,,Währungswechsel (Einbuchung),,EUR,31.23,EUR,417.49,
15-12-2023,07:32,14-12-2023,,,Währungswechsel (Ausbuchung),1.1021,USD,-34.42,USD,0.00,
14-12-2023,06:57,12-12-2023,3M COMPANY COMMON STOC,US88579Y1010,Dividendensteuer,,USD,-6.08,USD,34.42,
14-12-2023,06:57,12-12-2023,3M COMPANY COMMON STOC,US88579Y1010,Dividende,,USD,40.50,USD,40.50,
13-12-2023,16:47,13-12-2023,,,"Überweisung auf Ihr Geldkonto bei der flatex Bank: 14,34 EUR",,,,EUR,386.26,
13-12-2023,16:47,13-12-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-14.34,EUR,371.92,
13-12-2023,07:48,12-12-2023,,,Währungswechsel (Einbuchung),,EUR,14.34,EUR,386.26,
13-12-2023,07:48,12-12-2023,,,Währungswechsel (Ausbuchung),1.0821,USD,-15.52,USD,0.00,
12-12-2023,16:47,12-12-2023,,,"Überweisung auf Ihr Geldkonto bei der flatex Bank: 21,49 EUR",,,,EUR,371.92,
12-12-2023,16:47,12-12-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-21.49,EUR,350.43,
12-12-2023,07:55,08-12-2023,INTERNATIONAL BUSINESS,US4592001014,Dividende,,USD,18.26,USD,15.52,
12-12-2023,07:55,08-12-2023,INTERNATIONAL BUSINESS,US4592001014,Dividendensteuer,,USD,-2.74,USD,-2.74,
12-12-2023,07:49,11-12-2023,,,Währungswechsel (Einbuchung),,EUR,21.49,EUR,371.92,
12-12-2023,07:49,11-12-2023,,,Währungswechsel (Ausbuchung),1.0791,USD,-23.19,USD,0.00,
11-12-2023,07:33,08-12-2023,AMERICAN ELECTRIC POWER,US0255371017,Dividende,,USD,27.28,USD,23.19,
11-12-2023,07:33,08-12-2023,AMERICAN ELECTRIC POWER,US0255371017,Dividendensteuer,,USD,-4.09,USD,-4.09,
05-12-2023,16:47,05-12-2023,,,"Überweisung auf Ihr Geldkonto bei der flatex Bank: 15,49 EUR",,,,EUR,350.43,
05-12-2023,16:47,05-12-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-15.49,EUR,334.94,
05-12-2023,08:16,04-12-2023,,,Währungswechsel (Einbuchung),,EUR,15.49,EUR,350.43,
05-12-2023,08:16,04-12-2023,,,Währungswechsel (Ausbuchung),1.0864,USD,-16.83,USD,0.00,
04-12-2023,16:47,04-12-2023,,,"Überweisung auf Ihr Geldkonto bei der flatex Bank: 10,59 EUR",,,,EUR,334.94,
04-12-2023,16:47,04-12-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-10.59,EUR,324.35,
04-12-2023,07:38,01-12-2023,INTEL CORPORATION - CO,US4581401001,Dividende,,USD,7.75,USD,16.83,
04-12-2023,07:38,01-12-2023,INTEL CORPORATION - CO,US4581401001,Dividendensteuer,,USD,-1.16,USD,9.08,
04-12-2023,07:33,01-12-2023,FORD MOTOR COMPANY COM,US3453708600,Dividendensteuer,,USD,-1.37,USD,10.24,
04-12-2023,07:33,01-12-2023,FORD MOTOR COMPANY COM,US3453708600,Dividende,,USD,9.15,USD,11.61,
04-12-2023,07:12,01-12-2023,KROGER COMPANY (THE) C,US5010441013,Dividende,,USD,2.90,USD,2.46,
04-12-2023,07:12,01-12-2023,KROGER COMPANY (THE) C,US5010441013,Dividendensteuer,,USD,-0.44,USD,-0.44,
02-12-2023,07:55,01-12-2023,,,Währungswechsel (Einbuchung),,EUR,10.59,EUR,334.94,
02-12-2023,07:55,01-12-2023,,,Währungswechsel (Ausbuchung),1.0911,USD,-11.56,USD,0.00,
01-12-2023,16:57,01-12-2023,,,"Überweisung auf Ihr Geldkonto bei der flatex Bank: 25,82 EUR",,,,EUR,324.35,
01-12-2023,16:57,01-12-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-25.82,EUR,298.53,
01-12-2023,09:40,30-11-2023,,,Währungswechsel (Einbuchung),,EUR,25.82,EUR,324.35,
