Datum,Uhrze,Valutadatum,Produkt,ISIN,Beschreibung,FX,Änderung,,Saldo,,Order-ID
06-07-2023,19:10,06-07-2023,ISHARES MSCI JAPAN UCITS ETF USD (DIST),IE00B02KXH56,DEGIRO Transaktionsgebühren und/oder Fremdkosten,,EUR,"-3,00",EUR,"20,65",00e6adc0-83ae-4b8a-b7f9-aa70f77b5a26
06-07-2023,19:10,06-07-2023,ISHARES MSCI JAPAN UCITS ETF USD (DIST),IE00B02KXH56,"Kauf 45 zu je 14,1563 EUR (IE00B02KXH56)",,EUR,"-637,03",EUR,"23,65",00e6adc0-83ae-4b8a-b7f9-aa70f77b5a26
06-07-2023,19:06,06-07-2023,BANK OF AMERICA CORPOR,US0605051046,Währungswechsel (Einbuchung),"1,0847",USD,"703,75",USD,"0,00",2f2f5b58-0fe8-4ee1-b36e-ab26b08900fb
06-07-2023,19:06,06-07-2023,BANK OF AMERICA CORPOR,US0605051046,Währungswechsel (Ausbuchung),,EUR,"-648,81",EUR,"660,69",2f2f5b58-0fe8-4ee1-b36e-ab26b08900fb
06-07-2023,19:06,06-07-2023,BANK OF AMERICA CORPOR,US0605051046,DEGIRO Transaktionsgebühren und/oder Fremdkosten,,EUR,"-2,00",EUR,"1309,50",2f2f5b58-0fe8-4ee1-b36e-ab26b08900fb
06-07-2023,19:06,06-07-2023,BANK OF AMERICA CORPOR,US0605051046,"Kauf 25 zu je 28,15 USD (US0605051046)",,USD,"-703,75",USD,"-703,75",2f2f5b58-0fe8-4ee1-b36e-ab26b08900fb
06-07-2023,19:04,06-07-2023,AMERICAN ELECTRIC POWER,US0255371017,Währungswechsel (Einbuchung),"1,0847",USD,"853,80",USD,"0,00",b6e25e0d-46cb-4e43-84c0-24e8f5335459
06-07-2023,19:04,06-07-2023,AMERICAN ELECTRIC POWER,US0255371017,Währungswechsel (Ausbuchung),,EUR,"-787,14",EUR,"1311,50",b6e25e0d-46cb-4e43-84c0-24e8f5335459
06-07-2023,19:04,06-07-2023,AMERICAN ELECTRIC POWER,US0255371017,DEGIRO Transaktionsgebühren und/oder Fremdkosten,,EUR,"-2,00",EUR,"2098,64",b6e25e0d-46cb-4e43-84c0-24e8f5335459
06-07-2023,19:04,06-07-2023,AMERICAN ELECTRIC POWER,US0255371017,"Kauf 10 zu je 85,38 USD (US0255371017)",,USD,"-853,80",USD,"-853,80",b6e25e0d-46cb-4e43-84c0-24e8f5335459
06-07-2023,15:21,06-07-2023,,,flatex Einzahlung,,EUR,"2000,00",EUR,"2100,64",
04-07-2023,17:20,04-07-2023,,,"Überweisung auf Ihr Geldkonto bei der flatex Bank: 25,64 EUR",,,,EUR,"100,64",
04-07-2023,17:20,04-07-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"-25,64",EUR,"75,00",
04-07-2023,07:42,03-07-2023,,,Währungswechsel (Einbuchung),,EUR,"25,64",EUR,"100,64",
04-07-2023,07:42,03-07-2023,,,Währungswechsel (Ausbuchung),"1,0938",USD,"-28,05",USD,"0,00",
