Datum,Uhrze,Valutadatum,Produkt,ISIN,Beschreibung,FX,Änderung,,Saldo,,Order-ID
09-05-2023,17:04,09-05-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"543,95",EUR,"577,85",
09-05-2023,12:19,08-05-2023,,,"Auszahlung von Ihrem Geldkonto bei der flatex Bank: 2.732,04 EUR",,,,EUR,"33,90",
09-05-2023,12:19,08-05-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"2732,04",EUR,"2765,94",
09-05-2023,09:04,09-05-2023,ISHARES PROP US,IE00B1FZSF77,"Kauf 3 zu je 24,725 EUR (IE00B1FZSF77)",,EUR,"-74,18",EUR,"33,90",6b69c50c-530a-43bc-bd27-264caf44c4c3
09-05-2023,09:04,09-05-2023,ISHARES PROP US,IE00B1FZSF77,"Kauf 17 zu je 24,725 EUR (IE00B1FZSF77)",,EUR,"-420,32",EUR,"108,07",6b69c50c-530a-43bc-bd27-264caf44c4c3
09-05-2023,09:04,09-05-2023,ISHARES PROP US,IE00B1FZSF77,"Kauf 2 zu je 24,725 EUR (IE00B1FZSF77)",,EUR,"-49,45",EUR,"528,40",6b69c50c-530a-43bc-bd27-264caf44c4c3
08-05-2023,21:40,08-05-2023,APPLE INC. - COMMON ST,US0378331005,Währungswechsel (Einbuchung),"1,0976",USD,"867,65",USD,"0,00",1c40eca7-e9f1-493c-84f8-84d3f09eb94b
08-05-2023,21:40,08-05-2023,APPLE INC. - COMMON ST,US0378331005,Währungswechsel (Ausbuchung),,EUR,"-790,46",EUR,"577,85",1c40eca7-e9f1-493c-84f8-84d3f09eb94b
08-05-2023,21:40,08-05-2023,APPLE INC. - COMMON ST,US0378331005,DEGIRO Transaktionsgebühren und/oder Fremdkosten,,EUR,"-1,00",EUR,"1368,31",1c40eca7-e9f1-493c-84f8-84d3f09eb94b
08-05-2023,21:40,08-05-2023,APPLE INC. - COMMON ST,US0378331005,"Kauf 5 zu je 173,53 USD (US0378331005)",,USD,"-867,65",USD,"-867,65",1c40eca7-e9f1-493c-84f8-84d3f09eb94b
08-05-2023,21:37,08-05-2023,BANK OF AMERICA CORPOR,US0605051046,Währungswechsel (Einbuchung),"1,0976",USD,"833,10",USD,"0,00",b05f0768-b964-4b63-bf97-cc6ed4d578c4
08-05-2023,21:37,08-05-2023,BANK OF AMERICA CORPOR,US0605051046,Währungswechsel (Ausbuchung),,EUR,"-758,99",EUR,"1369,31",b05f0768-b964-4b63-bf97-cc6ed4d578c4
08-05-2023,21:37,08-05-2023,BANK OF AMERICA CORPOR,US0605051046,DEGIRO Transaktionsgebühren und/oder Fremdkosten,,EUR,"-1,00",EUR,"2128,30",b05f0768-b964-4b63-bf97-cc6ed4d578c4
08-05-2023,21:37,08-05-2023,BANK OF AMERICA CORPOR,US0605051046,"Kauf 30 zu je 27,77 USD (US0605051046)",,USD,"-833,10",USD,"-833,10",b05f0768-b964-4b63-bf97-cc6ed4d578c4
08-05-2023,21:36,08-05-2023,CF INDUSTRIES HOLDINGS,US1252691001,Währungswechsel (Einbuchung),"1,0975",USD,"679,40",USD,"0,00",70a19bc2-51dd-460e-8212-9a8a8aa800df
08-05-2023,21:36,08-05-2023,CF INDUSTRIES HOLDINGS,US1252691001,Währungswechsel (Ausbuchung),,EUR,"-619,02",EUR,"2129,30",70a19bc2-51dd-460e-8212-9a8a8aa800df
08-05-2023,21:36,08-05-2023,CF INDUSTRIES HOLDINGS,US1252691001,DEGIRO Transaktionsgebühren und/oder Fremdkosten,,EUR,"-1,00",EUR,"2748,32",70a19bc2-51dd-460e-8212-9a8a8aa800df
08-05-2023,21:36,08-05-2023,CF INDUSTRIES HOLDINGS,US1252691001,"Kauf 10 zu je 67,94 USD (US1252691001)",,USD,"-679,40",USD,"-679,40",70a19bc2-51dd-460e-8212-9a8a8aa800df
08-05-2023,21:35,08-05-2023,3M COMPANY COMMON STOC,US88579Y1010,Währungswechsel (Einbuchung),"1,0974",USD,"614,10",USD,"0,00",9ca16cc5-88ea-4083-aea5-c2713fcee351
08-05-2023,21:35,08-05-2023,3M COMPANY COMMON STOC,US88579Y1010,Währungswechsel (Ausbuchung),,EUR,"-559,57",EUR,"2749,32",9ca16cc5-88ea-4083-aea5-c2713fcee351
08-05-2023,21:35,08-05-2023,3M COMPANY COMMON STOC,US88579Y1010,DEGIRO Transaktionsgebühren und/oder Fremdkosten,,EUR,"-1,00",EUR,"3308,89",9ca16cc5-88ea-4083-aea5-c2713fcee351
08-05-2023,21:35,08-05-2023,3M COMPANY COMMON STOC,US88579Y1010,"Kauf 6 zu je 102,35 USD (US88579Y1010)",,USD,"-614,10",USD,"-614,10",9ca16cc5-88ea-4083-aea5-c2713fcee351
05-05-2023,17:19,05-05-2023,,,"Überweisung auf Ihr Geldkonto bei der flatex Bank: 33,58 EUR",,,,EUR,"3309,89",
05-05-2023,17:19,05-05-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"-33,58",EUR,"3276,31",
05-05-2023,11:21,05-05-2023,,,flatex Einzahlung,,EUR,"3000,00",EUR,"3309,89",
05-05-2023,09:02,04-05-2023,BAYER AG,DE000BAY0017,Dividende,,EUR,"45,60",EUR,"309,89",
05-05-2023,09:02,04-05-2023,BAYER AG,DE000BAY0017,Dividendensteuer,,EUR,"-12,02",EUR,"264,29",
04-05-2023,16:49,04-05-2023,,,"Überweisung auf Ihr Geldkonto bei der flatex Bank: 107,64 EUR",,,,EUR,"276,31",
04-05-2023,16:49,04-05-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"-107,64",EUR,"168,67",
04-05-2023,07:54,03-05-2023,BASF SE,DE000BASF111,Dividende,,EUR,"146,20",EUR,"276,31",
04-05-2023,07:54,03-05-2023,BASF SE,DE000BASF111,Dividendensteuer,,EUR,"-38,56",EUR,"130,11",
