Datum,Uhrze,Valutadatum,Produkt,ISIN,Beschreibung,FX,Änderung,,Saldo,,Order-ID
07-12-2024,06:48,06-12-2024,,,Währungswechsel (Einbuchung),,EUR,2.78,EUR,280.40,
07-12-2024,06:48,06-12-2024,,,Währungswechsel (Ausbuchung),1.0594,USD,-2.94,USD,0.00,
06-12-2024,19:16,06-12-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-0.92,EUR,277.62,
06-12-2024,19:16,06-12-2024,,,"Überweisung auf Ihr Geldkonto bei der flatexDEGIRO Bank: 0,92 EUR",,,,EUR,278.54,
06-12-2024,08:39,22-11-2023,WELLTOWER INC,US95040Q1040,Kapitalrückzahlung,,USD,6.52,USD,2.94,
06-12-2024,08:39,22-11-2023,WELLTOWER INC,US95040Q1040,Dividende,,USD,17.88,USD,-3.58,
06-12-2024,08:39,22-11-2023,WELLTOWER INC,US95040Q1040,Dividendensteuer,,USD,-2.68,USD,-21.46,
06-12-2024,08:39,22-11-2023,WELLTOWER INC,US95040Q1040,Dividendensteuer,,USD,3.66,USD,-18.78,
06-12-2024,08:39,22-11-2023,WELLTOWER INC,US95040Q1040,Dividende,,USD,-24.40,USD,-22.44,
06-12-2024,08:36,23-08-2023,WELLTOWER INC,US95040Q1040,Kapitalrückzahlung,,USD,6.52,USD,1.96,
06-12-2024,08:36,23-08-2023,WELLTOWER INC,US95040Q1040,Dividende,,USD,17.88,USD,-4.56,
06-12-2024,08:36,23-08-2023,WELLTOWER INC,US95040Q1040,Dividendensteuer,,USD,-2.68,USD,-22.44,
06-12-2024,08:36,23-08-2023,WELLTOWER INC,US95040Q1040,Dividendensteuer,,USD,3.66,USD,-19.76,
06-12-2024,08:36,23-08-2023,WELLTOWER INC,US95040Q1040,Dividende,,USD,-24.40,USD,-23.42,
06-12-2024,08:33,23-05-2023,WELLTOWER INC,US95040Q1040,Kapitalrückzahlung,,USD,6.52,USD,0.98,
06-12-2024,08:33,23-05-2023,WELLTOWER INC,US95040Q1040,Dividendensteuer,,USD,-2.68,USD,-5.54,
06-12-2024,08:33,23-05-2023,WELLTOWER INC,US95040Q1040,Dividende,,USD,17.88,USD,-2.86,
06-12-2024,08:33,23-05-2023,WELLTOWER INC,US95040Q1040,Dividende,,USD,-24.40,USD,-20.74,
06-12-2024,08:33,23-05-2023,WELLTOWER INC,US95040Q1040,Dividendensteuer,,USD,3.66,USD,3.66,
06-12-2024,06:50,05-12-2024,,,Währungswechsel (Einbuchung),,EUR,0.92,EUR,277.62,
06-12-2024,06:50,05-12-2024,,,Währungswechsel (Ausbuchung),1.0612,USD,-0.98,USD,0.00,
05-12-2024,14:40,08-03-2023,WELLTOWER INC,US95040Q1040,Kapitalrückzahlung,,USD,6.52,USD,0.98,
05-12-2024,14:40,08-03-2023,WELLTOWER INC,US95040Q1040,Dividende,,USD,17.88,USD,-5.54,
05-12-2024,14:40,08-03-2023,WELLTOWER INC,US95040Q1040,Dividendensteuer,,USD,-2.68,USD,-23.42,
05-12-2024,14:40,08-03-2023,WELLTOWER INC,US95040Q1040,Dividendensteuer,,USD,3.66,USD,-20.74,
05-12-2024,14:40,08-03-2023,WELLTOWER INC,US95040Q1040,Dividende,,USD,-24.40,USD,-24.40,
05-12-2024,07:01,04-12-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-9.97,EUR,276.70,
05-12-2024,07:01,04-12-2024,,,"Überweisung auf Ihr Geldkonto bei der flatexDEGIRO Bank: 9,97 EUR",,,,EUR,286.67,
04-12-2024,06:46,03-12-2024,,,Währungswechsel (Einbuchung),,EUR,9.97,EUR,276.70,
04-12-2024,06:46,03-12-2024,,,Währungswechsel (Ausbuchung),1.0535,USD,-10.50,USD,0.00,
04-12-2024,02:16,03-12-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-8.08,EUR,266.73,
04-12-2024,02:16,03-12-2024,,,"Überweisung auf Ihr Geldkonto bei der flatexDEGIRO Bank: 8,08 EUR",,,,EUR,274.81,
03-12-2024,08:00,02-12-2024,KROGER CO,US5010441013,Dividendensteuer,,USD,-0.48,USD,10.50,
03-12-2024,08:00,02-12-2024,KROGER CO,US5010441013,Dividende,,USD,3.20,USD,10.98,
03-12-2024,07:55,02-12-2024,FORD MOTOR,US3453708600,Dividendensteuer,,USD,-1.37,USD,7.78,
03-12-2024,07:55,02-12-2024,FORD MOTOR,US3453708600,Dividende,,USD,9.15,USD,9.15,
03-12-2024,06:46,02-12-2024,,,Währungswechsel (Einbuchung),,EUR,8.08,EUR,266.73,
03-12-2024,06:46,02-12-2024,,,Währungswechsel (Ausbuchung),1.0525,USD,-8.50,USD,0.00,
02-12-2024,07:06,29-11-2024,CF INDUSTRIES HOLDINGS,US1252691001,Dividende,,USD,10.00,USD,8.50,
02-12-2024,07:06,29-11-2024,CF INDUSTRIES HOLDINGS,US1252691001,Dividendensteuer,,USD,-1.50,USD,-1.50,
29-11-2024,19:16,29-11-2024,,,"Überweisung auf Ihr Geldkonto bei der flatexDEGIRO Bank: 29,86 EUR",,,,EUR,258.65,
29-11-2024,19:16,29-11-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-29.86,EUR,228.79,
29-11-2024,15:46,28-11-2024,,,Überweisung auf Ihr Geldkonto bei der flatexDEGIRO Bank: 21 EUR,,,,EUR,258.65,
29-11-2024,15:46,28-11-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-21.00,EUR,237.65,
29-11-2024,06:57,28-11-2024,,,Währungswechsel (Einbuchung),,EUR,29.86,EUR,258.65,
29-11-2024,06:57,28-11-2024,,,Währungswechsel (Ausbuchung),1.0578,USD,-31.59,USD,0.00,
28-11-2024,07:38,27-11-2024,ISHARES ASIA PROPERTY YIELD UCITS ETF,IE00B1FZS244,Dividende,,USD,9.42,USD,31.59,
28-11-2024,07:29,27-11-2024,ISHARES US PROPERTY YIELD UCITS ETF,IE00B1FZSF77,Dividende,,USD,17.41,USD,22.17,
28-11-2024,07:26,27-11-2024,ISHARES MSCI EUROPE QUALITY DIV ETF,IE00BYYHSM20,Dividende,,EUR,21.00,EUR,228.79,
28-11-2024,07:21,27-11-2024,CONAGRA BRANDS,US2058871029,Dividende,,USD,5.60,USD,4.76,
28-11-2024,07:21,27-11-2024,CONAGRA BRANDS,US2058871029,Dividendensteuer,,USD,-0.84,USD,-0.84,
26-11-2024,21:45,26-11-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-15.99,EUR,207.79,
26-11-2024,21:45,26-11-2024,,,"Überweisung auf Ihr Geldkonto bei der flatexDEGIRO Bank: 15,99 EUR",,,,EUR,223.78,
26-11-2024,06:46,25-11-2024,,,Währungswechsel (Einbuchung),,EUR,15.99,EUR,207.79,
26-11-2024,06:46,25-11-2024,,,Währungswechsel (Ausbuchung),0.8372,GBP,-13.39,GBP,0.00,
