Datum,Uhrze,Valutadatum,Produkt,ISIN,Beschreibung,FX,Änderung,,Saldo,,Order-ID
19-07-2023,16:49,19-07-2023,,,"Überweisung auf Ihr Geldkonto bei der flatex Bank: 35,98 EUR",,,,EUR,"56,63",
19-07-2023,16:49,19-07-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"-35,98",EUR,"20,65",
19-07-2023,07:35,18-07-2023,,,Währungswechsel (Einbuchung),,EUR,"10,21",EUR,"56,63",
19-07-2023,07:35,18-07-2023,,,Währungswechsel (Ausbuchung),"1,1258",USD,"-11,49",USD,"0,00",
19-07-2023,07:26,18-07-2023,SUEDZUCKER AG,DE0007297004,Dividende,,EUR,"35,00",EUR,"46,42",
19-07-2023,07:26,18-07-2023,SUEDZUCKER AG,DE0007297004,Dividendensteuer,,EUR,"-9,23",EUR,"11,42",
18-07-2023,07:33,15-07-2023,CARDINAL HEALTH INC.,US14149Y1082,Dividende,,USD,"13,52",USD,"11,49",
18-07-2023,07:33,15-07-2023,CARDINAL HEALTH INC.,US14149Y1082,Dividendensteuer,,USD,"-2,03",USD,"-2,03",
10-07-2023,11:39,06-07-2023,,,"Auszahlung von Ihrem Geldkonto bei der flatex Bank: 2.079,99 EUR",,,,EUR,"20,65",
10-07-2023,11:39,06-07-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"2079,99",EUR,"2100,64",
06-07-2023,19:10,06-07-2023,ISHARES MSCI JAPAN UCITS ETF USD (DIST),IE00B02KXH56,DEGIRO Transaktionsgebühren und/oder Fremdkosten,,EUR,"-3,00",EUR,"20,65",00e6adc0-83ae-4b8a-b7f9-aa70f77b5a26
06-07-2023,19:10,06-07-2023,ISHARES MSCI JAPAN UCITS ETF USD (DIST),IE00B02KXH56,"Kauf 45 zu je 14,1563 EUR (IE00B02KXH56)",,EUR,"-637,03",EUR,"23,65",00e6adc0-83ae-4b8a-b7f9-aa70f77b5a26
06-07-2023,19:06,06-07-2023,BANK OF AMERICA CORPOR,US0605051046,Währungswechsel (Einbuchung),"1,0847",USD,"703,75",USD,"0,00",2f2f5b58-0fe8-4ee1-b36e-ab26b08900fb
06-07-2023,19:06,06-07-2023,BANK OF AMERICA CORPOR,US0605051046,Währungswechsel (Ausbuchung),,EUR,"-648,81",EUR,"660,69",2f2f5b58-0fe8-4ee1-b36e-ab26b08900fb
06-07-2023,19:06,06-07-2023,BANK OF AMERICA CORPOR,US0605051046,DEGIRO Transaktionsgebühren und/oder Fremdkosten,,EUR,"-2,00",EUR,"1309,50",2f2f5b58-0fe8-4ee1-b36e-ab26b08900fb
