Datum,Uhrze,Valutadatum,Produkt,ISIN,Beschreibung,FX,Änderung,,Saldo,,Order-ID
01-08-2025,07:46,01-08-2025,,,"Überweisung auf Ihr Geldkonto bei der flatexDEGIRO Bank: 21,9 EUR",,,,EUR,"101,63",
01-08-2025,07:46,01-08-2025,,,Degiro Cash Sweep Transfer,,EUR,"-21,90",EUR,"79,73",
01-08-2025,06:33,31-07-2025,,,Währungswechsel (Einbuchung),,EUR,"21,90",EUR,"101,63",
01-08-2025,06:33,31-07-2025,,,Währungswechsel (Ausbuchung),"1,1447",USD,"-25,07",USD,"0,00",
31-07-2025,07:56,30-07-2025,ISHARES MSCI JAPAN UCITS ETF USD (DIST),IE00B02KXH56,Dividende,,USD,"25,07",USD,"25,07",
29-07-2025,07:31,29-07-2025,,,"Überweisung auf Ihr Geldkonto bei der flatexDEGIRO Bank: 1,32 EUR",,,,EUR,"79,73",
29-07-2025,07:31,29-07-2025,,,Degiro Cash Sweep Transfer,,EUR,"-1,32",EUR,"78,41",
29-07-2025,06:31,28-07-2025,,,Währungswechsel (Einbuchung),,EUR,"1,32",EUR,"79,73",
29-07-2025,06:31,28-07-2025,,,Währungswechsel (Ausbuchung),"1,1618",USD,"-1,53",USD,"0,00",
28-07-2025,07:03,25-07-2025,GENERAL ELECTRIC CO,US3696043013,Dividende,,USD,"1,80",USD,"1,53",
28-07-2025,07:03,25-07-2025,GENERAL ELECTRIC CO,US3696043013,Dividendensteuer,,USD,"-0,27",USD,"-0,27",
23-07-2025,08:30,23-07-2025,,,"Überweisung auf Ihr Geldkonto bei der flatexDEGIRO Bank: 7,36 EUR",,,,EUR,"78,41",
23-07-2025,08:30,23-07-2025,,,Degiro Cash Sweep Transfer,,EUR,"-7,36",EUR,"71,05",
23-07-2025,07:27,22-07-2025,SUEDZUCKER AG,DE0007297004,Dividende,,EUR,"10,00",EUR,"78,41",
23-07-2025,07:27,22-07-2025,SUEDZUCKER AG,DE0007297004,Dividendensteuer,,EUR,"-2,64",EUR,"68,41",
21-07-2025,03:36,21-07-2025,,,"Überweisung auf Ihr Geldkonto bei der flatexDEGIRO Bank: 24,89 EUR",,,,EUR,"71,05",
21-07-2025,03:36,21-07-2025,,,Degiro Cash Sweep Transfer,,EUR,"-24,89",EUR,"46,16",
19-07-2025,06:30,18-07-2025,,,Währungswechsel (Einbuchung),,EUR,"24,89",EUR,"71,05",
19-07-2025,06:30,18-07-2025,,,Währungswechsel (Ausbuchung),"0,8687",GBP,"-21,62",GBP,"0,00",
18-07-2025,07:17,17-07-2025,NATIONAL GRID PLC,GB00BDR05C01,Dividende,,GBP,"21,62",GBP,"21,62",
17-07-2025,07:51,17-07-2025,,,"Überweisung auf Ihr Geldkonto bei der flatexDEGIRO Bank: 10,04 EUR",,,,EUR,"46,16",
17-07-2025,07:51,17-07-2025,,,Degiro Cash Sweep Transfer,,EUR,"-10,04",EUR,"36,12",
17-07-2025,06:38,16-07-2025,,,Währungswechsel (Einbuchung),,EUR,"10,04",EUR,"46,16",
17-07-2025,06:38,16-07-2025,,,Währungswechsel (Ausbuchung),"1,1671",USD,"-11,72",USD,"0,00",
16-07-2025,07:25,15-07-2025,CARDINAL HEALTH INC.,US14149Y1082,Dividendensteuer,,USD,"-2,07",USD,"11,72",
16-07-2025,07:25,15-07-2025,CARDINAL HEALTH INC.,US14149Y1082,Dividende,,USD,"13,79",USD,"13,79",
08-07-2025,20:30,08-07-2025,,,"Auszahlung von Ihrem Geldkonto bei der flatexDEGIRO Bank: 608,3 EUR",,,,EUR,"36,12",
08-07-2025,20:30,08-07-2025,,,Degiro Cash Sweep Transfer,,EUR,"608,30",EUR,"644,42",
08-07-2025,19:49,08-07-2025,BANK OF AMERICA CORP,US0605051046,Währungswechsel (Einbuchung),"1,1690",USD,"708,75",USD,"0,00",c6d4cee9-42c8-4dec-9405-a0cd006d89de
08-07-2025,19:49,08-07-2025,BANK OF AMERICA CORP,US0605051046,Währungswechsel (Ausbuchung),,EUR,"-606,30",EUR,"36,12",c6d4cee9-42c8-4dec-9405-a0cd006d89de
08-07-2025,19:49,08-07-2025,BANK OF AMERICA CORP,US0605051046,DEGIRO Transaktionsgebühren und/oder Fremdkosten,,EUR,"-2,00",EUR,"642,42",c6d4cee9-42c8-4dec-9405-a0cd006d89de
08-07-2025,19:49,08-07-2025,BANK OF AMERICA CORP,US0605051046,"Kauf 15 zu je 47,25 USD (US0605051046)",,USD,"-708,75",USD,"-708,75",c6d4cee9-42c8-4dec-9405-a0cd006d89de
