Datum,Uhrze,Valutadatum,Produkt,ISIN,Beschreibung,FX,Änderung,,Saldo,,Order-ID
08-08-2023,10:35,07-08-2023,,,"Auszahlung von Ihrem Geldkonto bei der flatex Bank: 1.059,49 EUR",,,,EUR,"26,69",
08-08-2023,10:35,07-08-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"1059,49",EUR,"1086,18",
08-08-2023,09:28,08-08-2023,ISHARES PROP US,IE00B1FZSF77,DEGIRO Transaktionsgebühren und/oder Fremdkosten,,EUR,"-1,00",EUR,"26,69",73d7ff9e-4459-4722-836e-9feebc0ee311
08-08-2023,09:28,08-08-2023,ISHARES PROP US,IE00B1FZSF77,"Kauf 20 zu je 25,2 EUR (IE00B1FZSF77)",,EUR,"-504,00",EUR,"27,69",73d7ff9e-4459-4722-836e-9feebc0ee311
07-08-2023,19:29,07-08-2023,GENERAL MILLS INC. CO,US3703341046,Währungswechsel (Einbuchung),"1,0969",USD,"589,60",USD,"0,00",e57b62f3-aca2-4242-97c3-cbd0549765b5
07-08-2023,19:29,07-08-2023,GENERAL MILLS INC. CO,US3703341046,Währungswechsel (Ausbuchung),,EUR,"-537,54",EUR,"531,69",e57b62f3-aca2-4242-97c3-cbd0549765b5
07-08-2023,19:29,07-08-2023,GENERAL MILLS INC. CO,US3703341046,DEGIRO Transaktionsgebühren und/oder Fremdkosten,,EUR,"-2,00",EUR,"1069,23",e57b62f3-aca2-4242-97c3-cbd0549765b5
07-08-2023,19:29,07-08-2023,GENERAL MILLS INC. CO,US3703341046,"Kauf 8 zu je 73,7 USD (US3703341046)",,USD,"-589,60",USD,"-589,60",e57b62f3-aca2-4242-97c3-cbd0549765b5
07-08-2023,19:25,07-08-2023,AMERICAN ELECTRIC POWER,US0255371017,Währungswechsel (Einbuchung),"1,0971",USD,"162,36",USD,"0,00",184666ba-4edc-4b19-8616-16fc62358c9f
07-08-2023,19:25,07-08-2023,AMERICAN ELECTRIC POWER,US0255371017,Währungswechsel (Ausbuchung),,EUR,"-148,00",EUR,"1071,23",184666ba-4edc-4b19-8616-16fc62358c9f
07-08-2023,19:25,07-08-2023,AMERICAN ELECTRIC POWER,US0255371017,Währungswechsel (Einbuchung),"1,0971",USD,"405,85",USD,"-162,36",184666ba-4edc-4b19-8616-16fc62358c9f
