Datum,Uhrze,Valutadatum,Produkt,ISIN,Beschreibung,FX,Änderung,,Saldo,,Order-ID
18-08-2023,16:50,18-08-2023,,,"Überweisung auf Ihr Geldkonto bei der flatex Bank: 2,25 EUR",,,,EUR,59.40,
18-08-2023,16:50,18-08-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-2.25,EUR,57.15,
18-08-2023,08:58,17-08-2023,,,Währungswechsel (Einbuchung),,EUR,2.25,EUR,59.40,
18-08-2023,08:58,17-08-2023,,,Währungswechsel (Ausbuchung),1.0899,USD,-2.45,USD,0.00,
18-08-2023,06:21,17-08-2023,APPLE INC. - COMMON ST,US0378331005,Dividende,,USD,2.88,USD,2.45,
18-08-2023,06:21,17-08-2023,APPLE INC. - COMMON ST,US0378331005,Dividendensteuer,,USD,-0.43,USD,-0.43,
17-08-2023,16:50,17-08-2023,,,"Überweisung auf Ihr Geldkonto bei der flatex Bank: 0,03 EUR",,,,EUR,57.15,
17-08-2023,16:50,17-08-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-0.03,EUR,57.12,
17-08-2023,07:34,16-08-2023,,,Währungswechsel (Einbuchung),,EUR,0.03,EUR,57.15,
17-08-2023,07:34,16-08-2023,,,Währungswechsel (Ausbuchung),1.0906,USD,-0.03,USD,0.00,
16-08-2023,07:45,15-08-2023,GE HEALTHCARE TECHNOLOGIES INC. -,US36266G1076,Dividende,,USD,0.03,USD,0.03,
10-08-2023,16:50,10-08-2023,,,"Überweisung auf Ihr Geldkonto bei der flatex Bank: 30,43 EUR",,,,EUR,57.12,
10-08-2023,16:50,10-08-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-30.43,EUR,26.69,
10-08-2023,07:34,09-08-2023,,,Währungswechsel (Einbuchung),,EUR,30.43,EUR,57.12,
10-08-2023,07:34,09-08-2023,,,Währungswechsel (Ausbuchung),0.8650,GBP,-26.32,GBP,0.00,
10-08-2023,06:27,09-08-2023,NATIONAL GRID,GB00BDR05C01,Dividende,,GBP,26.32,GBP,26.32,
08-08-2023,16:50,08-08-2023,,,Auszahlung von Ihrem Geldkonto bei der flatex Bank: 505 EUR,,,,EUR,26.69,
08-08-2023,16:50,08-08-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,505.00,EUR,531.69,
08-08-2023,10:35,07-08-2023,,,"Auszahlung von Ihrem Geldkonto bei der flatex Bank: 1.059,49 EUR",,,,EUR,26.69,
08-08-2023,10:35,07-08-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,1059.49,EUR,1086.18,
08-08-2023,09:28,08-08-2023,ISHARES PROP US,IE00B1FZSF77,DEGIRO Transaktionsgebühren und/oder Fremdkosten,,EUR,-1.00,EUR,26.69,73d7ff9e-4459-4722-836e-9feebc0ee311
08-08-2023,09:28,08-08-2023,ISHARES PROP US,IE00B1FZSF77,"Kauf 20 zu je 25,2 EUR (IE00B1FZSF77)",,EUR,-504.00,EUR,27.69,73d7ff9e-4459-4722-836e-9feebc0ee311
07-08-2023,19:29,07-08-2023,GENERAL MILLS INC. CO,US3703341046,Währungswechsel (Einbuchung),1.0969,USD,589.60,USD,0.00,e57b62f3-aca2-4242-97c3-cbd0549765b5
