Datum,Uhrze,Valutadatum,Produkt,ISIN,Beschreibung,FX,Änderung,,Saldo,,Order-ID
06-12-2022,21:42,06-12-2022,KELLOGG COMPANY COMMON,US4878361082,Währungswechsel (Einbuchung),"1,0440",USD,"437,88",USD,"0,00",0e5ae35c-90d9-42c3-968f-abbac3dec368
06-12-2022,21:42,06-12-2022,KELLOGG COMPANY COMMON,US4878361082,Währungswechsel (Ausbuchung),,EUR,"-419,43",EUR,"52,61",0e5ae35c-90d9-42c3-968f-abbac3dec368
06-12-2022,21:42,06-12-2022,KELLOGG COMPANY COMMON,US4878361082,DEGIRO Transaktionsgebühren und/oder Fremdkosten,,EUR,"-1,00",EUR,"472,04",0e5ae35c-90d9-42c3-968f-abbac3dec368
06-12-2022,21:42,06-12-2022,KELLOGG COMPANY COMMON,US4878361082,"Kauf 6 zu je 72,98 USD (US4878361082)",,USD,"-437,88",USD,"-437,88",0e5ae35c-90d9-42c3-968f-abbac3dec368
06-12-2022,21:32,06-12-2022,INTEL CORPORATION - CO,US4581401001,Währungswechsel (Einbuchung),"1,0443",USD,"426,45",USD,"0,00",e8ff63d5-d812-4893-bbec-7c4ce630265e
06-12-2022,21:32,06-12-2022,INTEL CORPORATION - CO,US4581401001,Währungswechsel (Ausbuchung),,EUR,"-408,37",EUR,"473,04",e8ff63d5-d812-4893-bbec-7c4ce630265e
06-12-2022,21:32,06-12-2022,INTEL CORPORATION - CO,US4581401001,DEGIRO Transaktionsgebühren und/oder Fremdkosten,,EUR,"-1,00",EUR,"881,41",e8ff63d5-d812-4893-bbec-7c4ce630265e
06-12-2022,21:32,06-12-2022,INTEL CORPORATION - CO,US4581401001,"Kauf 15 zu je 28,43 USD (US4581401001)",,USD,"-426,45",USD,"-426,45",e8ff63d5-d812-4893-bbec-7c4ce630265e
06-12-2022,21:05,06-12-2022,INTERNATIONAL BUSINESS,US4592001014,Währungswechsel (Einbuchung),"1,0440",USD,"440,97",USD,"0,00",24cf7e32-bde1-4a72-885d-b6096ae948d5
06-12-2022,21:05,06-12-2022,INTERNATIONAL BUSINESS,US4592001014,Währungswechsel (Ausbuchung),,EUR,"-422,39",EUR,"882,41",24cf7e32-bde1-4a72-885d-b6096ae948d5
06-12-2022,21:05,06-12-2022,INTERNATIONAL BUSINESS,US4592001014,DEGIRO Transaktionsgebühren und/oder Fremdkosten,,EUR,"-1,00",EUR,"1304,80",24cf7e32-bde1-4a72-885d-b6096ae948d5
06-12-2022,21:05,06-12-2022,INTERNATIONAL BUSINESS,US4592001014,"Kauf 3 zu je 146,99 USD (US4592001014)",,USD,"-440,97",USD,"-440,97",24cf7e32-bde1-4a72-885d-b6096ae948d5
05-12-2022,17:19,05-12-2022,,,"Überweisung auf Ihr Geldkonto bei der flatex Bank: 23,27 EUR",,,,EUR,"1305,80",
05-12-2022,17:19,05-12-2022,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"-23,27",EUR,"1282,53",
05-12-2022,15:20,05-12-2022,,,flatex Einzahlung,,EUR,"1200,00",EUR,"1305,80",
03-12-2022,07:35,02-12-2022,,,Währungswechsel (Einbuchung),,EUR,"23,27",EUR,"105,80",
03-12-2022,07:35,02-12-2022,,,Währungswechsel (Ausbuchung),"1,0562",USD,"-24,58",USD,"0,00",
02-12-2022,16:49,02-12-2022,,,"Überweisung auf Ihr Geldkonto bei der flatex Bank: 39,81 EUR",,,,EUR,"82,53",
02-12-2022,16:49,02-12-2022,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"-39,81",EUR,"42,72",
02-12-2022,09:48,01-12-2022,KROGER COMPANY (THE) C,US5010441013,Dividende,,USD,"2,60",USD,"24,58",
02-12-2022,09:48,01-12-2022,KROGER COMPANY (THE) C,US5010441013,Dividendensteuer,,USD,"-0,39",USD,"21,98",
02-12-2022,09:43,01-12-2022,FORD MOTOR COMPANY COM,US3453708600,Dividende,,USD,"9,15",USD,"22,37",
02-12-2022,09:43,01-12-2022,FORD MOTOR COMPANY COM,US3453708600,Dividendensteuer,,USD,"-1,37",USD,"13,22",
02-12-2022,09:40,01-12-2022,INTEL CORPORATION - CO,US4581401001,Dividende,,USD,"17,16",USD,"14,59",
02-12-2022,09:40,01-12-2022,INTEL CORPORATION - CO,US4581401001,Dividendensteuer,,USD,"-2,57",USD,"-2,57",
02-12-2022,07:36,01-12-2022,,,Währungswechsel (Einbuchung),,EUR,"39,81",EUR,"82,53",
02-12-2022,07:36,01-12-2022,,,Währungswechsel (Ausbuchung),"1,0546",USD,"-41,98",USD,"0,00",
01-12-2022,17:19,01-12-2022,,,"Überweisung auf Ihr Geldkonto bei der flatex Bank: 23,32 EUR",,,,EUR,"42,72",
01-12-2022,17:19,01-12-2022,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"-23,32",EUR,"19,40",
01-12-2022,08:29,30-11-2022,ISHARES PROP US,IE00B1FZSF77,Dividende,,USD,"7,63",USD,"41,98",
01-12-2022,08:10,30-11-2022,ISHARES PROP US,IE00B1FZSF77,Dividende,,USD,"-7,63",USD,"34,35",
01-12-2022,08:10,30-11-2022,ISHARES PROP US,IE00B1FZSF77,Dividende,,USD,"7,63",USD,"41,98",
01-12-2022,08:03,30-11-2022,ISHARES ASIA PROPERTY YIELD UCITS ET...,IE00B1FZS244,Dividende,,USD,"10,21",USD,"34,35",
01-12-2022,07:53,30-11-2022,ISHARES MSCI EUROPE QUALITY DIV ETF E...,IE00BYYHSM20,Dividende,,EUR,"23,32",EUR,"42,72",
01-12-2022,07:21,30-11-2022,CF INDUSTRIES HOLDINGS,US1252691001,Dividende,,USD,"4,00",USD,"24,14",
01-12-2022,07:21,30-11-2022,CF INDUSTRIES HOLDINGS,US1252691001,Dividendensteuer,,USD,"-0,60",USD,"20,14",
01-12-2022,06:55,30-11-2022,WELLTOWER INC. COMMON,US95040Q1040,Dividende,,USD,"24,40",USD,"20,74",
01-12-2022,06:55,30-11-2022,WELLTOWER INC. COMMON,US95040Q1040,Dividendensteuer,,USD,"-3,66",USD,"-3,66",
30-11-2022,16:18,30-11-2022,,,"Überweisung auf Ihr Geldkonto bei der flatex Bank: 14,01 EUR",,,,EUR,"19,40",
30-11-2022,16:18,30-11-2022,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"-14,01",EUR,"5,39",
30-11-2022,07:33,29-11-2022,,,Währungswechsel (Einbuchung),,EUR,"14,01",EUR,"19,40",
30-11-2022,07:33,29-11-2022,,,Währungswechsel (Ausbuchung),"0,8661",GBP,"-12,13",GBP,"-0,00",
29-11-2022,09:51,25-11-2022,TESCO,GB00BLGZ9862,Dividende,,GBP,"12,13",GBP,"12,13",
14-11-2022,17:49,14-11-2022,,,"Überweisung auf Ihr Geldkonto bei der flatex Bank: 1,32 EUR",,,,EUR,"5,39",
14-11-2022,17:49,14-11-2022,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"-1,32",EUR,"4,07",
12-11-2022,07:41,11-11-2022,,,Währungswechsel (Einbuchung),,EUR,"1,32",EUR,"5,39",
12-11-2022,07:41,11-11-2022,,,Währungswechsel (Ausbuchung),"1,0374",USD,"-1,37",USD,"0,00",
11-11-2022,07:24,10-11-2022,APPLE INC. - COMMON ST,US0378331005,Dividende,,USD,"1,61",USD,"1,37",
11-11-2022,07:24,10-11-2022,APPLE INC. - COMMON ST,US0378331005,Dividendensteuer,,USD,"-0,24",USD,"-0,24",
10-11-2022,10:34,09-11-2022,,,"Auszahlung von Ihrem Geldkonto bei der flatex Bank: 1.028,31 EUR",,,,EUR,"4,07",
10-11-2022,10:34,09-11-2022,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"1028,31",EUR,"1032,38",
09-11-2022,18:22,09-11-2022,BANK OF AMERICA CORPOR,US0605051046,Währungswechsel (Einbuchung),"1,0007",USD,"1028,02",USD,"0,00",8d52f031-4662-4795-8cef-d15bdb3923fb
09-11-2022,18:22,09-11-2022,BANK OF AMERICA CORPOR,US0605051046,Währungswechsel (Ausbuchung),,EUR,"-1027,31",EUR,"4,07",8d52f031-4662-4795-8cef-d15bdb3923fb
09-11-2022,18:22,09-11-2022,BANK OF AMERICA CORPOR,US0605051046,DEGIRO Transaktionsgebühren und/oder Fremdkosten,,EUR,"-1,00",EUR,"1031,38",8d52f031-4662-4795-8cef-d15bdb3923fb
09-11-2022,18:22,09-11-2022,BANK OF AMERICA CORPOR,US0605051046,"Kauf 28 zu je 36,715 USD (US0605051046)",,USD,"-1028,02",USD,"-1028,02",8d52f031-4662-4795-8cef-d15bdb3923fb
09-11-2022,16:18,09-11-2022,,,"Auszahlung von Ihrem Geldkonto bei der flatex Bank: 512,9 EUR",,,,EUR,"1032,38",
09-11-2022,16:18,09-11-2022,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"512,90",EUR,"1545,28",
09-11-2022,12:48,09-11-2022,ISHARES MSCI EUROPE QUALITY DIV ETF E...,IE00BYYHSM20,DEGIRO Transaktionsgebühren und/oder Fremdkosten,,EUR,"-3,00",EUR,"1032,38",dad06627-6d98-4a06-a271-6ebc9e7fa59d
09-11-2022,12:48,09-11-2022,ISHARES MSCI EUROPE QUALITY DIV ETF E...,IE00BYYHSM20,"Kauf 100 zu je 5,099 EUR (IE00BYYHSM20)",,EUR,"-509,90",EUR,"1035,38",dad06627-6d98-4a06-a271-6ebc9e7fa59d
09-11-2022,09:00,09-11-2022,,,flatex Einzahlung,,EUR,"1500,00",EUR,"1545,28",
