Datum,Uhrze,Valutadatum,Produkt,ISIN,Beschreibung,FX,Änderung,,Saldo,,Order-ID
17-02-2024,07:42,16-02-2024,,,Währungswechsel (Einbuchung),,EUR,2.30,EUR,74.80,
17-02-2024,07:42,16-02-2024,,,Währungswechsel (Ausbuchung),1.0804,USD,-2.48,USD,0.00,
16-02-2024,07:32,15-02-2024,APPLE INC. - COMMON ST,US0378331005,Dividendensteuer,,USD,-0.43,USD,2.48,
16-02-2024,07:32,15-02-2024,APPLE INC. - COMMON ST,US0378331005,Dividende,,USD,2.88,USD,2.91,
16-02-2024,07:23,15-02-2024,GE HEALTHCARE TECHNOLOGIES INC. -,US36266G1076,Dividende,,USD,0.03,USD,0.03,
05-02-2024,22:56,05-02-2024,,,"Überweisung auf Ihr Geldkonto bei der flatex Bank: 10,29 EUR",,,,EUR,72.50,
05-02-2024,22:56,05-02-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-10.29,EUR,62.21,
05-02-2024,07:16,31-01-2024,,,Einrichtung von Handelsmodalitäten 2024 (New York Stock Exchange - NSY),,EUR,-2.50,EUR,72.50,
05-02-2024,07:16,31-01-2024,,,Einrichtung von Handelsmodalitäten 2024 (Nasdaq - NDQ),,EUR,-2.50,EUR,75.00,
05-02-2024,07:16,31-01-2024,,,Einrichtung von Handelsmodalitäten 2024 (London Stock Exchange (LSE) - LSE),,EUR,-2.50,EUR,77.50,
05-02-2024,07:16,31-01-2024,,,Einrichtung von Handelsmodalitäten 2024 (Euronext Amsterdam - EAM),,EUR,-2.50,EUR,80.00,
05-02-2024,07:16,31-01-2024,,,Einrichtung von Handelsmodalitäten 2024 (Tradegate AG - TDG),,EUR,-2.50,EUR,82.50,
03-02-2024,07:41,02-02-2024,,,Währungswechsel (Einbuchung),,EUR,22.79,EUR,85.00,
03-02-2024,07:41,02-02-2024,,,Währungswechsel (Ausbuchung),1.0816,USD,-24.65,USD,0.00,
02-02-2024,07:57,01-02-2024,GENERAL MILLS INC. CO,US3703341046,Dividendensteuer,,USD,-2.66,USD,24.65,
02-02-2024,07:57,01-02-2024,GENERAL MILLS INC. CO,US3703341046,Dividende,,USD,17.70,USD,27.31,
02-02-2024,07:09,01-02-2024,VERIZON COMMUNICATIONS,US92343V1044,Dividende,,USD,11.31,USD,9.61,
02-02-2024,07:09,01-02-2024,VERIZON COMMUNICATIONS,US92343V1044,Dividendensteuer,,USD,-1.70,USD,-1.70,
29-01-2024,17:00,29-01-2024,,,"Überweisung auf Ihr Geldkonto bei der flatex Bank: 0,31 EUR",,,,EUR,62.21,
29-01-2024,17:00,29-01-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-0.31,EUR,61.90,
27-01-2024,07:40,26-01-2024,,,Währungswechsel (Einbuchung),,EUR,0.31,EUR,62.21,
27-01-2024,07:40,26-01-2024,,,Währungswechsel (Ausbuchung),1.0880,USD,-0.34,USD,0.00,
26-01-2024,16:30,26-01-2024,,,"Überweisung auf Ihr Geldkonto bei der flatex Bank: 12,94 EUR",,,,EUR,61.90,
26-01-2024,16:30,26-01-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-12.94,EUR,48.96,
26-01-2024,07:33,25-01-2024,,,Währungswechsel (Einbuchung),,EUR,12.94,EUR,61.90,
26-01-2024,07:33,25-01-2024,,,Währungswechsel (Ausbuchung),1.0873,USD,-14.07,USD,0.34,
26-01-2024,07:15,25-01-2024,GENERAL ELECTRIC COMPANY COMMON,US3696043013,Dividende,,USD,0.40,USD,14.41,
26-01-2024,07:15,25-01-2024,GENERAL ELECTRIC COMPANY COMMON,US3696043013,Dividendensteuer,,USD,-0.06,USD,14.01,
25-01-2024,07:29,24-01-2024,ISHARES MSCI JAPAN UCITS ETF USD (DIST),IE00B02KXH56,Dividende,,USD,14.07,USD,14.07,
24-01-2024,18:15,24-01-2024,,,"Überweisung auf Ihr Geldkonto bei der flatex Bank: 2,82 EUR",,,,EUR,48.96,
24-01-2024,18:15,24-01-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-2.82,EUR,46.14,
24-01-2024,07:31,23-01-2024,,,Währungswechsel (Einbuchung),,EUR,2.82,EUR,48.96,
24-01-2024,07:31,23-01-2024,,,Währungswechsel (Ausbuchung),1.0881,USD,-3.07,USD,0.00,
23-01-2024,16:36,21-06-2022,ISHARES MSCI,IE00B0M63953,Dividende,,USD,3.07,USD,3.07,
18-01-2024,16:30,18-01-2024,,,"Überweisung auf Ihr Geldkonto bei der flatex Bank: 10,53 EUR",,,,EUR,46.14,
18-01-2024,16:30,18-01-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-10.53,EUR,35.61,
18-01-2024,07:26,17-01-2024,,,Währungswechsel (Einbuchung),,EUR,10.53,EUR,46.14,
18-01-2024,07:26,17-01-2024,,,Währungswechsel (Ausbuchung),1.0910,USD,-11.49,USD,0.00,
