Datum,Uhrze,Valutadatum,Produkt,ISIN,Beschreibung,FX,Änderung,,Saldo,,Order-ID
01-10-2025,08:42,01-10-2025,,,Degiro Cash Sweep Transfer,,EUR,"-11,73",EUR,"440,99",
01-10-2025,08:42,01-10-2025,,,"Überweisung auf Ihr Geldkonto bei der flatexDEGIRO Bank: 11,73 EUR",,,,EUR,"452,72",
01-10-2025,06:37,30-09-2025,,,Währungswechsel (Einbuchung),,EUR,"11,73",EUR,"440,99",
01-10-2025,06:37,30-09-2025,,,Währungswechsel (Ausbuchung),"1,1762",USD,"-13,80",USD,"0,00",
30-09-2025,11:41,30-09-2025,,,Degiro Cash Sweep Transfer,,EUR,"113,26",EUR,"429,26",
30-09-2025,11:41,30-09-2025,,,"Auszahlung von Ihrem Geldkonto bei der flatexDEGIRO Bank: 113,26 EUR",,,,EUR,"316,00",
30-09-2025,09:00,30-09-2025,,,Degiro Cash Sweep Transfer,,EUR,"-113,26",EUR,"429,26",
30-09-2025,09:00,30-09-2025,,,"Überweisung auf Ihr Geldkonto bei der flatexDEGIRO Bank: 113,26 EUR",,,,EUR,"542,52",
30-09-2025,08:00,30-09-2025,,,Degiro Cash Sweep Transfer,,EUR,"-113,26",EUR,"429,26",
30-09-2025,08:00,30-09-2025,,,"Überweisung auf Ihr Geldkonto bei der flatexDEGIRO Bank: 113,26 EUR",,,,EUR,"542,52",
30-09-2025,07:20,29-09-2025,CORNING INC,US2193501051,Dividendensteuer,,USD,"-2,44",USD,"13,80",
30-09-2025,07:20,29-09-2025,CORNING INC,US2193501051,Dividende,,USD,"16,24",USD,"16,24",
30-09-2025,06:35,29-09-2025,,,Währungswechsel (Einbuchung),,EUR,"113,26",EUR,"429,26",
30-09-2025,06:35,29-09-2025,,,Währungswechsel (Ausbuchung),"1,1755",USD,"-133,14",USD,"0,00",
29-09-2025,10:26,26-09-2025,WK KELLOGG CO,US92942W1071,Barausgleich Kapitalmaßnahme (Aktie),,USD,"92,00",USD,"133,14",
29-09-2025,10:26,26-09-2025,WK KELLOGG CO,US92942W1071,DELISTING: Verkauf 4 zu je 0 USD (US92942W1071),,USD,"0,00",USD,"41,14",
29-09-2025,08:08,26-09-2025,BANK OF AMERICA CORP,US0605051046,Dividende,,USD,"30,80",USD,"41,14",
29-09-2025,08:08,26-09-2025,BANK OF AMERICA CORP,US0605051046,Dividendensteuer,,USD,"-4,62",USD,"10,34",
29-09-2025,07:07,26-09-2025,KRAFT HEINZ CO,US5007541064,Dividende,,USD,"17,60",USD,"14,96",
29-09-2025,07:07,26-09-2025,KRAFT HEINZ CO,US5007541064,Dividendensteuer,,USD,"-2,64",USD,"-2,64",
26-09-2025,08:33,26-09-2025,,,Degiro Cash Sweep Transfer,,EUR,"-30,15",EUR,"316,00",
