Datum,Uhrze,Valutadatum,Produkt,ISIN,Beschreibung,FX,Änderung,,Saldo,,Order-ID
03-02-2023,18:20,03-02-2023,BANK OF AMERICA CORPOR,US0605051046,Währungswechsel (Einbuchung),"1,0802",USD,"403,69",USD,"0,00",36f1541f-7cd5-4fa4-a1e2-33f7b261638b
03-02-2023,18:20,03-02-2023,BANK OF AMERICA CORPOR,US0605051046,Währungswechsel (Ausbuchung),,EUR,"-373,72",EUR,"184,68",36f1541f-7cd5-4fa4-a1e2-33f7b261638b
03-02-2023,18:20,03-02-2023,BANK OF AMERICA CORPOR,US0605051046,Währungswechsel (Einbuchung),"1,0802",USD,"36,70",USD,"-403,69",36f1541f-7cd5-4fa4-a1e2-33f7b261638b
03-02-2023,18:20,03-02-2023,BANK OF AMERICA CORPOR,US0605051046,Währungswechsel (Ausbuchung),,EUR,"-33,98",EUR,"558,40",36f1541f-7cd5-4fa4-a1e2-33f7b261638b
03-02-2023,18:20,03-02-2023,BANK OF AMERICA CORPOR,US0605051046,DEGIRO Transaktionsgebühren und/oder Fremdkosten,,EUR,"-1,00",EUR,"592,38",36f1541f-7cd5-4fa4-a1e2-33f7b261638b
03-02-2023,18:20,03-02-2023,BANK OF AMERICA CORPOR,US0605051046,"Kauf 11 zu je 36,699 USD (US0605051046)",,USD,"-403,69",USD,"-440,39",36f1541f-7cd5-4fa4-a1e2-33f7b261638b
03-02-2023,18:20,03-02-2023,BANK OF AMERICA CORPOR,US0605051046,"Kauf 1 zu je 36,7 USD (US0605051046)",,USD,"-36,70",USD,"-36,70",36f1541f-7cd5-4fa4-a1e2-33f7b261638b
03-02-2023,17:49,03-02-2023,,,"Überweisung auf Ihr Geldkonto bei der flatex Bank: 8,62 EUR",,,,EUR,"593,38",
03-02-2023,17:49,03-02-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"-8,62",EUR,"584,76",
03-02-2023,17:20,03-02-2023,KELLOGG COMPANY COMMON,US4878361082,Währungswechsel (Einbuchung),"1,0825",USD,"670,60",USD,"0,00",d517ad63-0e78-4830-a938-3738ea3e68cf
03-02-2023,17:20,03-02-2023,KELLOGG COMPANY COMMON,US4878361082,Währungswechsel (Ausbuchung),,EUR,"-619,50",EUR,"593,38",d517ad63-0e78-4830-a938-3738ea3e68cf
03-02-2023,17:20,03-02-2023,KELLOGG COMPANY COMMON,US4878361082,DEGIRO Transaktionsgebühren und/oder Fremdkosten,,EUR,"-1,00",EUR,"1212,88",d517ad63-0e78-4830-a938-3738ea3e68cf
03-02-2023,17:20,03-02-2023,KELLOGG COMPANY COMMON,US4878361082,"Kauf 10 zu je 67,06 USD (US4878361082)",,USD,"-670,60",USD,"-670,60",d517ad63-0e78-4830-a938-3738ea3e68cf
03-02-2023,09:11,03-02-2023,,,flatex Einzahlung,,EUR,"1000,00",EUR,"1213,88",
