Datum,Uhrze,Valutadatum,Produkt,ISIN,Beschreibung,FX,Änderung,,Saldo,,Order-ID
08-10-2024,16:30,08-10-2024,,,"Überweisung auf Ihr Geldkonto bei der flatex Bank: 36,3 EUR",,,,EUR,122.19,
08-10-2024,16:30,08-10-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-36.30,EUR,85.89,
08-10-2024,06:41,07-10-2024,,,Währungswechsel (Einbuchung),,EUR,36.30,EUR,122.19,
08-10-2024,06:41,07-10-2024,,,Währungswechsel (Ausbuchung),0.8410,GBP,-30.53,GBP,0.00,
07-10-2024,07:33,04-10-2024,ADMIRAL GROUP PLC,GB00B02J6398,Dividende,,GBP,30.53,GBP,30.53,
06-10-2024,15:30,30-09-2024,,,Flatex Interest Income,,EUR,0.00,EUR,85.89,
01-10-2024,18:46,01-10-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-44.57,EUR,85.89,
01-10-2024,18:46,01-10-2024,,,"Überweisung auf Ihr Geldkonto bei der flatex Bank: 44,57 EUR",,,,EUR,130.46,
01-10-2024,06:52,30-09-2024,,,Währungswechsel (Einbuchung),,EUR,44.57,EUR,85.89,
01-10-2024,06:52,30-09-2024,,,Währungswechsel (Ausbuchung),1.1162,USD,-49.75,USD,0.00,
30-09-2024,07:38,27-09-2024,CORNING INC,US2193501051,Dividendensteuer,,USD,-2.44,USD,49.75,
30-09-2024,07:38,27-09-2024,CORNING INC,US2193501051,Dividende,,USD,16.24,USD,52.19,
30-09-2024,07:38,27-09-2024,BANK OF AMERICA CORP,US0605051046,Dividendensteuer,,USD,-3.71,USD,35.95,
30-09-2024,07:38,27-09-2024,BANK OF AMERICA CORP,US0605051046,Dividende,,USD,24.70,USD,39.66,
30-09-2024,06:49,27-09-2024,KRAFT HEINZ CO,US5007541064,Dividende,,USD,17.60,USD,14.96,
30-09-2024,06:49,27-09-2024,KRAFT HEINZ CO,US5007541064,Dividendensteuer,,USD,-2.64,USD,-2.64,
27-09-2024,22:05,27-09-2024,,,"Überweisung auf Ihr Geldkonto bei der flatex Bank: 30,63 EUR",,,,EUR,41.32,
27-09-2024,22:05,27-09-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-30.63,EUR,10.69,
