Datum,Uhrze,Valutadatum,Produkt,ISIN,Beschreibung,FX,Änderung,,Saldo,,Order-ID
01-05-2025,08:22,01-05-2025,,,"Überweisung auf Ihr Geldkonto bei der flatexDEGIRO Bank: 2,35 EUR",,,,EUR,19.83,
01-05-2025,08:22,01-05-2025,,,Degiro Cash Sweep Transfer,,EUR,-2.35,EUR,17.48,
01-05-2025,07:59,30-04-2025,BAYER AG,DE000BAY0017,Dividendensteuer,,EUR,-0.84,EUR,19.83,
01-05-2025,07:59,30-04-2025,BAYER AG,DE000BAY0017,Dividende,,EUR,3.19,EUR,20.67,
01-05-2025,05:20,01-05-2025,,,"Überweisung auf Ihr Geldkonto bei der flatexDEGIRO Bank: 4,89 EUR",,,,EUR,17.48,
01-05-2025,05:20,01-05-2025,,,Degiro Cash Sweep Transfer,,EUR,-4.89,EUR,12.59,
01-05-2025,04:32,30-04-2025,ISHARES MSCI EUROPE MID CAP UCITS ETF,IE00BYXYX745,Dividende,,EUR,4.89,EUR,17.48,
28-04-2025,07:30,28-04-2025,,,"Überweisung auf Ihr Geldkonto bei der flatexDEGIRO Bank: 1,34 EUR",,,,EUR,12.59,
28-04-2025,07:30,28-04-2025,,,Degiro Cash Sweep Transfer,,EUR,-1.34,EUR,11.25,
28-04-2025,06:32,25-04-2025,,,Währungswechsel (Einbuchung),,EUR,1.34,EUR,12.59,
28-04-2025,06:32,25-04-2025,,,Währungswechsel (Ausbuchung),1.1393,USD,-1.53,USD,0.00,
27-04-2025,23:22,25-04-2025,GENERAL ELECTRIC CO,US3696043013,Dividende,,USD,1.80,USD,1.53,
27-04-2025,23:22,25-04-2025,GENERAL ELECTRIC CO,US3696043013,Dividendensteuer,,USD,-0.27,USD,-0.27,
17-04-2025,08:02,17-04-2025,,,"Überweisung auf Ihr Geldkonto bei der flatexDEGIRO Bank: 10,15 EUR",,,,EUR,11.25,
17-04-2025,08:02,17-04-2025,,,Degiro Cash Sweep Transfer,,EUR,-10.15,EUR,1.10,
17-04-2025,06:36,16-04-2025,,,Währungswechsel (Einbuchung),,EUR,10.15,EUR,11.25,
17-04-2025,06:36,16-04-2025,,,Währungswechsel (Ausbuchung),1.1427,USD,-11.60,USD,0.00,
16-04-2025,07:31,15-04-2025,CARDINAL HEALTH INC.,US14149Y1082,Dividende,,USD,13.65,USD,11.60,
16-04-2025,07:31,15-04-2025,CARDINAL HEALTH INC.,US14149Y1082,Dividendensteuer,,USD,-2.05,USD,-2.05,
14-04-2025,16:40,15-04-2025,,,Processed Flatex Withdrawal,,EUR,300.00,EUR,1.10,
14-04-2025,16:40,15-04-2025,,,flatex Auszahlung,,EUR,-300.00,EUR,-298.90,
13-04-2025,13:33,13-04-2025,,,Processed Flatex Withdrawal,,EUR,-300.00,EUR,1.10,
06-04-2025,16:11,31-03-2025,,,Flatex Interest Income,,EUR,0.00,EUR,301.10,
