Datum,Uhrze,Valutadatum,Produkt,ISIN,Beschreibung,FX,Änderung,,Saldo,,Order-ID
20-03-2024,16:30,20-03-2024,,,"Überweisung auf Ihr Geldkonto bei der flatex Bank: 13,6 EUR",,,,EUR,25.11,
20-03-2024,16:30,20-03-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-13.60,EUR,11.51,
20-03-2024,07:05,19-03-2024,,,Währungswechsel (Einbuchung),,EUR,13.60,EUR,25.11,
20-03-2024,07:05,19-03-2024,,,Währungswechsel (Ausbuchung),1.0893,USD,-14.82,USD,0.00,
19-03-2024,20:15,19-03-2024,,,"Überweisung auf Ihr Geldkonto bei der flatex Bank: 11,5 EUR",,,,EUR,11.51,
19-03-2024,20:15,19-03-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-11.50,EUR,0.01,
19-03-2024,07:36,18-03-2024,DUKE ENERGY CORPORATIO,US26441C2044,Dividende,,USD,17.43,USD,14.82,
19-03-2024,07:36,18-03-2024,DUKE ENERGY CORPORATIO,US26441C2044,Dividendensteuer,,USD,-2.61,USD,-2.61,
19-03-2024,07:21,18-03-2024,,,Währungswechsel (Einbuchung),,EUR,11.50,EUR,11.51,
19-03-2024,07:21,18-03-2024,,,Währungswechsel (Ausbuchung),1.0901,USD,-12.54,USD,0.00,
18-03-2024,19:10,19-03-2024,,,Processed Flatex Withdrawal,,EUR,224.00,EUR,0.01,
18-03-2024,19:10,19-03-2024,,,flatex Auszahlung,,EUR,-224.00,EUR,-223.99,
18-03-2024,08:00,15-03-2024,KELLANOVA,US4878361082,Dividende,,USD,8.96,USD,12.54,
18-03-2024,08:00,15-03-2024,KELLANOVA,US4878361082,Dividendensteuer,,USD,-1.34,USD,3.58,
18-03-2024,07:57,15-03-2024,NEXTERA ENERGY,US65339F1012,Dividendensteuer,,USD,-0.77,USD,4.92,
18-03-2024,07:57,15-03-2024,NEXTERA ENERGY,US65339F1012,Dividende,,USD,5.15,USD,5.69,
18-03-2024,07:14,15-03-2024,WK KELLOGG CO,US92942W1071,Dividendensteuer,,USD,-0.10,USD,0.54,
18-03-2024,07:14,15-03-2024,WK KELLOGG CO,US92942W1071,Dividende,,USD,0.64,USD,0.64,
17-03-2024,19:07,17-03-2024,,,Processed Flatex Withdrawal,,EUR,-224.00,EUR,0.01,
14-03-2024,19:15,14-03-2024,,,"Überweisung auf Ihr Geldkonto bei der flatex Bank: 31,57 EUR",,,,EUR,224.01,
14-03-2024,19:15,14-03-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-31.57,EUR,192.44,
14-03-2024,07:08,13-03-2024,,,Währungswechsel (Einbuchung),,EUR,31.57,EUR,224.01,
14-03-2024,07:08,13-03-2024,,,Währungswechsel (Ausbuchung),1.0975,USD,-34.65,USD,0.00,
13-03-2024,18:45,13-03-2024,,,"Überweisung auf Ihr Geldkonto bei der flatex Bank: 14,17 EUR",,,,EUR,192.44,
13-03-2024,18:45,13-03-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-14.17,EUR,178.27,
13-03-2024,07:13,12-03-2024,3M COMPANY COMMON STOC,US88579Y1010,Dividende,,USD,40.77,USD,34.65,
13-03-2024,07:13,12-03-2024,3M COMPANY COMMON STOC,US88579Y1010,Dividendensteuer,,USD,-6.12,USD,-6.12,
13-03-2024,07:07,12-03-2024,,,Währungswechsel (Einbuchung),,EUR,14.17,EUR,192.44,
13-03-2024,07:07,12-03-2024,,,Währungswechsel (Ausbuchung),1.0954,USD,-15.52,USD,0.00,
12-03-2024,11:45,11-03-2024,,,"Überweisung auf Ihr Geldkonto bei der flatex Bank: 40,06 EUR",,,,EUR,178.27,
12-03-2024,11:45,11-03-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-40.06,EUR,138.21,
12-03-2024,07:16,11-03-2024,INTERNATIONAL BUSINESS,US4592001014,Dividende,,USD,18.26,USD,15.52,
12-03-2024,07:16,11-03-2024,INTERNATIONAL BUSINESS,US4592001014,Dividendensteuer,,USD,-2.74,USD,-2.74,
11-03-2024,07:00,08-03-2024,,,Währungswechsel (Einbuchung),,EUR,21.15,EUR,178.27,
11-03-2024,07:00,08-03-2024,,,Währungswechsel (Ausbuchung),1.0966,USD,-23.19,USD,0.00,
11-03-2024,00:11,08-03-2024,AMERICAN ELECTRIC POWER,US0255371017,Dividende,,USD,27.28,USD,23.19,
11-03-2024,00:11,08-03-2024,AMERICAN ELECTRIC POWER,US0255371017,Dividendensteuer,,USD,-4.09,USD,-4.09,
09-03-2024,07:31,08-03-2024,,,Währungswechsel (Einbuchung),,EUR,18.91,EUR,157.12,
09-03-2024,07:31,08-03-2024,,,Währungswechsel (Ausbuchung),1.0966,USD,-20.74,USD,0.00,
08-03-2024,07:21,07-03-2024,WELLTOWER INC. COMMON,US95040Q1040,Dividendensteuer,,USD,-3.66,USD,20.74,
08-03-2024,07:21,07-03-2024,WELLTOWER INC. COMMON,US95040Q1040,Dividende,,USD,24.40,USD,24.40,
06-03-2024,00:30,05-03-2024,,,"Überweisung auf Ihr Geldkonto bei der flatex Bank: 21,78 EUR",,,,EUR,138.21,
06-03-2024,00:30,05-03-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-21.78,EUR,116.43,
05-03-2024,07:52,04-03-2024,,,Währungswechsel (Einbuchung),,EUR,21.78,EUR,138.21,
05-03-2024,07:52,04-03-2024,,,Währungswechsel (Ausbuchung),1.0883,USD,-23.70,USD,0.00,
04-03-2024,20:02,04-03-2024,,,"Überweisung auf Ihr Geldkonto bei der flatex Bank: 14,46 EUR",,,,EUR,116.43,
04-03-2024,20:02,04-03-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-14.46,EUR,101.97,
04-03-2024,07:38,01-03-2024,INTEL CORPORATION - CO,US4581401001,Dividende,,USD,7.75,USD,23.70,
04-03-2024,07:38,01-03-2024,INTEL CORPORATION - CO,US4581401001,Dividendensteuer,,USD,-1.16,USD,15.95,
04-03-2024,07:34,01-03-2024,FORD MOTOR COMPANY COM,US3453708600,Dividende,,USD,20.13,USD,17.11,
04-03-2024,07:34,01-03-2024,FORD MOTOR COMPANY COM,US3453708600,Dividendensteuer,,USD,-3.02,USD,-3.02,
03-03-2024,07:49,01-03-2024,,,Währungswechsel (Einbuchung),,EUR,2.26,EUR,116.43,
03-03-2024,07:49,01-03-2024,,,Währungswechsel (Ausbuchung),1.0865,USD,-2.46,USD,0.00,
03-03-2024,00:14,01-03-2024,KROGER COMPANY (THE) C,US5010441013,Dividendensteuer,,USD,-0.44,USD,2.46,
03-03-2024,00:14,01-03-2024,KROGER COMPANY (THE) C,US5010441013,Dividende,,USD,2.90,USD,2.90,
02-03-2024,07:52,01-03-2024,,,Währungswechsel (Einbuchung),,EUR,12.20,EUR,114.17,
02-03-2024,07:52,01-03-2024,,,Währungswechsel (Ausbuchung),1.0865,USD,-13.26,USD,0.00,
02-03-2024,06:15,01-03-2024,,,"Überweisung auf Ihr Geldkonto bei der flatex Bank: 27,17 EUR",,,,EUR,101.97,
02-03-2024,06:15,01-03-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-27.17,EUR,74.80,
01-03-2024,07:49,29-02-2024,CF INDUSTRIES HOLDINGS,US1252691001,Dividendensteuer,,USD,-1.50,USD,13.26,
01-03-2024,07:49,29-02-2024,CF INDUSTRIES HOLDINGS,US1252691001,Dividende,,USD,10.00,USD,14.76,
01-03-2024,07:46,29-02-2024,CONAGRA FOODS INC. CO,US2058871029,Dividendensteuer,,USD,-0.84,USD,4.76,
01-03-2024,07:46,29-02-2024,CONAGRA FOODS INC. CO,US2058871029,Dividende,,USD,5.60,USD,5.60,
01-03-2024,07:09,29-02-2024,,,Währungswechsel (Einbuchung),,EUR,27.17,EUR,101.97,
01-03-2024,07:09,29-02-2024,,,Währungswechsel (Ausbuchung),1.0832,USD,-29.43,USD,0.00,
29-02-2024,07:42,28-02-2024,ISHARES PROP US,IE00B1FZSF77,Dividende,,USD,20.40,USD,29.43,
29-02-2024,07:40,28-02-2024,ISHARES ASIA PROPERTY YIELD UCITS ETF,IE00B1FZS244,Dividende,,USD,9.03,USD,9.03,
